participant_code,Bao,Chokdee`,DDDD,JJ,Ja,Kuga,Kurosagi Ichigo,M,Mick,Micky,Naenon,Offroad,Plub,Shimmy,Tack,Tw,champion,gobgab,march,name,sine,superidol,ก้องฟ้า,น้ำ,เจ,เทพซ่า676767677
Bao,0.0,3.7092092697621575,2.7060495632715202,2.6304105950418446,1.3782610113067602,3.568730181339364,3.781952589505037,2.4944051268107996,3.1315612276860905,3.221925480582767,3.7431787800621072,0.9204008433420198,2.330557962029628,2.2155145403577308,5.271286099386587,2.1294001178523696,2.098579957246081,4.065086431014607,5.062459345896657,1.9339842518285113,2.539086536553359,1.4872421365281916,5.164796704486318,1.6783487135567985,3.204011585632246,2.5336423243797093
Chokdee`,3.7092092697621575,0.0,5.93954981819752,5.5786944395174025,4.0963230775345565,0.8643660726306265,0.9429228076707248,1.734897486009335,5.2925324666036495,1.1915272893734683,1.0300419966041054,3.8532470261673573,1.5115704103074474,4.021094080478164,2.011824404362606,1.8118630432006075,2.13330514133482,0.8978620602130795,2.1406720852491765,2.6285687969798,1.973044347376366,3.8418592871148807,1.736746872982002,2.525479536752544,1.3606345253563648,4.721928658407273
DDDD,2.7060495632715202,5.93954981819752,0.0,1.8315407576410871,2.1789165263894836,5.802403762375969,6.1042843333355075,4.650309082068908,2.8577203250428895,5.525277683788185,5.8065789634246645,2.224711955327618,4.591309494887943,2.8445076707515162,7.6450920857784705,4.294583694702351,4.030689671052543,6.271301468148523,7.364041683537202,3.5290445773894046,4.503212551594751,2.595705506700199,7.369096008630904,3.663153348064032,5.597479629533325,3.1540093147990333
JJ,2.6304105950418446,5.5786944395174025,1.8315407576410871,0.0,1.5777297900549931,5.374567583310173,5.653917232577529,4.5408822266708215,3.640616079645916,4.984104648565619,5.403546573297289,2.0253540793542606,4.219941745934721,3.365695358513275,7.1374361304904745,3.901780874503004,3.90356341786966,5.812095425468746,6.690473847960056,3.404418191504178,3.8601743407727627,1.8895356495305156,6.991810979595864,3.129957751105567,5.194224491533452,1.690953610417728
Ja,1.3782610113067602,4.0963230775345565,2.1789165263894836,1.5777297900549931,0.0,3.9141429492724424,4.211330897876217,3.036189549969375,3.1027971473013247,3.5621710045407955,3.9767937242868667,0.6182700781732984,2.7205250378290713,2.3830521410468934,5.719571386797275,2.392001525710942,2.412506065247355,4.377254549658184,5.36243680654379,1.9406604971892318,2.499144358355976,0.6296683009458814,5.546520236363304,1.6537168167731144,3.7433003505082363,1.6025442308721198
Kuga,3.568730181339364,0.8643660726306265,5.802403762375969,5.374567583310173,3.9141429492724424,0.0,0.4827858633958757,1.469468217972688,5.476227754708459,0.6092795120314767,0.7098251349241737,3.69739318585192,1.2925480969492686,4.062030844532111,1.8899174948858386,1.5969862674627722,2.263768363653885,0.5789116749457138,1.8652468539290892,2.4679644034870645,1.6058620995464046,3.6101396577469878,1.7218991975317468,2.296537700740865,0.8444759040400031,4.455689945755607
Kurosagi Ichigo,3.781952589505037,0.9429228076707248,6.1042843333355075,5.653917232577529,4.211330897876217,0.4827858633958757,0.0,1.688619314131387,5.771351067750837,0.7599921743091187,0.8841714041608485,3.978804038645277,1.5572104754189626,4.299354451852484,1.5670322542200386,1.923497745073533,2.552783918158434,0.5306873478594154,1.637611544354383,2.785953961285253,1.8942372673049561,3.9129824447370463,1.5215830760948656,2.6033822019835187,0.881002308759212,4.729235782398441
M,2.4944051268107996,1.734897486009335,4.650309082068908,4.5408822266708215,3.036189549969375,1.469468217972688,1.688619314131387,0.0,4.519828687828229,1.4466562855910836,1.5804156871492392,2.6811459143668652,0.8666400505988772,2.9165914610243013,3.163958177511729,1.1710487036682822,1.6085105156760564,1.917314813485658,3.1812060288946125,1.4742468754757034,1.5086795757972398,2.822151257629833,2.8885863845117496,1.6745491758882258,1.382204163377682,3.97443680390452
Mick,3.1315612276860905,5.2925324666036495,2.8577203250428895,3.640616079645916,3.1027971473013247,5.476227754708459,5.771351067750837,4.519828687828229,0.0,5.348312869201114,5.529630333595492,2.928111229427745,4.396833726658025,2.7824871588464717,7.16330018033832,4.092522249532156,3.2541627639383175,5.8936652073761175,7.058777080696774,3.639833164303157,4.62451905977294,3.499568930865917,6.829199761047884,3.835116117839036,5.368408525698302,4.259839911821892
Micky,3.221925480582767,1.1915272893734683,5.525277683788185,4.984104648565619,3.5621710045407955,0.6092795120314767,0.7599921743091187,1.4466562855910836,5.348312869201114,0.0,1.0520846585952082,3.379345542242327,1.0588406669869777,3.9647923780276395,2.170494907373555,1.3648866098615196,2.1802324125474293,1.0187309909377593,1.9811345551473318,2.3290023931472543,1.2485947655709453,3.23351141098283,2.1812350381652887,1.9645870735142632,0.7617590842347898,3.999847831162792
Naenon,3.7431787800621072,1.0300419966041054,5.8065789634246645,5.403546573297289,3.9767937242868667,0.7098251349241737,0.8841714041608485,1.5804156871492392,5.529630333595492,1.0520846585952082,0.0,3.7779587500888296,1.4601947271172784,3.964861562572574,2.0980332697494775,1.799033450114048,2.3341856111032833,0.650496803546965,2.0917890734293385,2.4257104938322804,1.645532566906513,3.692851261644409,1.6449711764702584,2.396946037604474,1.4150007642883333,4.5696749229397
Offroad,0.9204008433420198,3.8532470261673573,2.224711955327618,2.0253540793542606,0.6182700781732984,3.69739318585192,3.978804038645277,2.6811459143668652,2.928111229427745,3.379345542242327,3.7779587500888296,0.0,2.46020059682233,1.993266502171474,5.513136952354976,2.169508573182655,2.109401765762369,4.178431593519967,5.218315216293629,1.6757596366997385,2.422937785705723,0.8892146957205431,5.324542353369829,1.514830827686468,3.4731513161090093,2.091084022552162
