participant_code,Bao,Chokdee`,DDDD,JJ,Ja,Kuga,Kurosagi Ichigo,M,Mick,Micky,Naenon,Offroad,Plub,Shimmy,Tack,Tw,champion,gobgab,march,name,sine,superidol,ก้องฟ้า,น้ำ,เจ,เทพซ่า676767677
Bao,0.0,0.9263209869732262,4.1426285386957,2.2066181631337303,1.4452889799965014,1.9327063959010211,2.946078550478131,2.4909919855966245,0.4225762280778612,2.514642470995115,2.794250711864103,1.2316799824108395,2.5339360870125263,11.273887229257207,3.934417450312771,2.34830253089401,2.853535093259698,3.4498118587657984,2.888618794211992,2.538039131357884,0.5987077059749073,1.417936684698636,5.478047126617292,0.4217915795480104,4.326855883470968,1.144346700630686
Chokdee`,0.9263209869732262,0.0,4.057728547423264,2.429203656223832,1.6449199569292134,1.928993584833639,2.941900079291947,2.4059061151677272,0.9953879319870002,2.5347517963755837,2.777323641853078,1.5496801777920677,2.5253062805255553,11.382784517581664,3.862812116144183,2.303216862833239,3.0088415704896816,3.3921098634741673,2.934651408527226,2.6421018311074826,0.9551827715256687,1.6329594726865846,5.384565168354398,0.9965285361041855,4.259144990565671,1.550492248164495
DDDD,4.1426285386957,4.057728547423264,0.0,2.5660400975653683,2.7926333303914004,5.3200600257970745,6.390150747804433,5.362992972282018,4.370417506875893,5.312416704404533,6.375703652453858,3.270866097254797,5.846026536631401,7.831529754245092,7.2283548796194825,5.301088581205707,3.056520238208812,6.458352579248062,6.804871948241653,2.823367500346163,4.392090547636601,2.9819430371355415,8.668187524171119,3.9995279757470654,7.591036528359763,4.0790991175396
JJ,2.2066181631337303,2.429203656223832,2.5660400975653683,0.0,1.414579343297993,3.913889514883165,5.009152462405337,4.320691982406287,2.297409375707272,4.150918158844578,4.909222446073367,1.0246717035971797,4.558081337027933,9.44846082195914,6.002527533651247,4.182493394651238,1.247439721751137,5.339779316159761,5.029793396489043,2.4666865529461246,2.547737341178262,0.8910992643290958,7.5267596722373,1.9768078932506163,6.410476323096453,1.713535193117644
Ja,1.4452889799965014,1.6449199569292134,2.7926333303914004,1.414579343297993,0.0,2.8378143494549843,3.91904475360044,3.098455719903886,1.7555476222316633,3.1259921264663735,3.8633960306846236,1.094031227860586,3.4061345885135363,9.920435220625874,4.8515314855682625,2.963359853419922,2.2879507343305727,4.198748063502689,4.192161657796244,1.5867076002038398,1.7908765830986269,0.9018987129035239,6.389610425026248,1.3827567929197608,5.232840088994422,1.8070354584719457
Kuga,1.9327063959010211,1.928993584833639,5.3200600257970745,3.913889514883165,2.8378143494549843,0.0,1.138883952947983,0.9988734998044929,2.036944274812207,1.1964556747288333,1.1078115397252417,3.030636027422775,0.739649433651335,12.435946835474544,2.1279219812956063,0.7182938793515887,4.690692797536049,1.548997408751119,1.7658495391728848,3.093091622180758,1.5597144377177694,3.0787346347637974,3.6261938208286972,2.3042848227623,2.5531144172695384,2.9178342630526957
Kurosagi Ichigo,2.946078550478131,2.941900079291947,6.390150747804433,5.009152462405337,3.91904475360044,1.138883952947983,0.0,1.3449787453346111,2.9985745501546215,1.6538290129557223,0.42375816439880715,4.1028001524442965,0.6509508392674659,13.398770869456765,1.116606633792164,1.2109058231432854,5.738845135237925,0.9565010544855166,1.367511996950981,4.0871916864860784,2.568254048035626,4.169667848432796,2.5659127136875997,3.3024490999451745,1.5285073983004616,3.8941723594756157
M,2.4909919855966245,2.4059061151677272,5.362992972282018,4.320691982406287,3.098455719903886,0.9988734998044929,1.3449787453346111,0.0,2.6861164284464847,1.4377460756911542,1.4355406095619152,3.5229275805819316,0.7847851999729445,12.472707103739499,1.9423391379730923,0.6503628063772263,5.160750135684907,1.3450382446805516,2.3491948306681234,3.089268521750731,2.2309651934594332,3.5127097411529093,3.3945103672940515,2.83893682520387,2.2841196016876997,3.5718590121999756
Mick,0.4225762280778612,0.9953879319870002,4.370417506875893,2.297409375707272,1.7555476222316633,2.036944274812207,2.9985745501546215,2.6861164284464847,0.0,2.635592783378846,2.8155011961157372,1.2905643001714933,2.651289610925009,11.500460275279982,3.999338840111788,2.537292410909038,2.8681506348713977,3.5574139653555683,2.771175255583375,2.868038318369357,0.6136146422274624,1.5301915263342687,5.519056967374787,0.5306787956796944,4.399438178362217,0.9349560938779582
Micky,2.514642470995115,2.5347517963755837,5.312416704404533,4.150918158844578,3.1259921264663735,1.1964556747288333,1.6538290129557223,1.4377460756911542,2.635592783378846,0.0,1.7598717672697626,3.3871151417477807,1.403212188153559,12.351885550682514,2.4826753531332275,1.2018776709514125,5.0447519086922075,1.6367542935217199,2.4585521163223487,3.121921690331015,2.0788994088120596,3.3934152826549875,3.7116169080923793,2.864477433817602,2.863667045953852,3.387446710647602
