participant_code,Bao,Chokdee`,DDDD,JJ,Ja,Kuga,Kurosagi Ichigo,M,Mick,Micky,Naenon,Offroad,Plub,Shimmy,Tack,Tw,champion,gobgab,march,name,sine,superidol,ก้องฟ้า,น้ำ,เจ,เทพซ่า676767677
Bao,0.0,4.317105937871312,7.506316218404661,3.748116521409154,2.408681179726826,5.183773183498274,4.047149235489977,5.3721553375119,4.067255808920542,3.943254783946102,2.6108633220169932,2.380290462353648,14.936434181741868,21.02717382222296,6.541222421395225,2.3119244676024597,4.269376900018886,4.148167323621994,9.080111627869362,3.5896748939806944,2.5505392496202477,3.0091068155562883,7.513551087937435,2.132068828349085,6.586582800145842,3.8239801126123583
Chokdee`,4.317105937871312,0.0,11.045443312996424,6.755571866276871,4.823045837478658,1.2594859051097271,0.9394665075443683,1.8948524315783186,6.014468207579361,1.10005143910351,3.8308506614419326,4.325467091839368,17.745932383432663,24.073292763625197,2.7791941229626063,3.4260663969853398,4.938721760659374,0.868474729228291,5.162662147059581,2.481318214721415,2.897117270186917,5.803446532735647,3.5898678102631862,3.0115712094165286,2.5119861380312494,3.8012601207069427
DDDD,7.506316218404661,11.045443312996424,0.0,4.695183744093757,6.465803313864471,11.998646196755804,10.91616187482984,12.319346887049887,7.027799150185946,10.646637793264087,7.878708746969356,7.0544423254138175,9.143653474991536,14.518892038204001,13.60394371450144,8.056127584604031,7.779806643235604,10.856811355617932,16.142208447617875,9.894994894804457,8.422194476820138,5.768711071539287,14.519802917949931,8.223593086602525,13.467830299532142,8.600913721775312
JJ,3.748116521409154,6.755571866276871,4.695183744093757,0.0,2.0263648620445083,7.582215085492092,6.568364393609476,7.91728419338501,2.708402227159089,6.277151643615817,3.340288521211521,2.527118030167034,11.78664672547158,17.837855326050533,9.248022046456889,3.5473448121863402,3.734538476845204,6.449365315420222,11.827366563600767,5.353598968758058,3.990838712634167,1.3322207409272788,10.148154998660095,3.9651651115704083,9.097916967188869,4.245215096031265
Ja,2.408681179726826,4.823045837478658,6.465803313864471,2.0263648620445083,0.0,5.645013967298117,4.635327846852136,5.96713099840896,2.593110848504306,4.329703583149715,1.752743434202679,0.7404734161745288,13.578399216887838,19.720964914747707,7.307526869240926,1.6573275589724106,3.013840405791313,4.508218254193093,9.87377896718909,3.4826064600164557,2.129859060202929,1.375033090325647,8.206893125786733,2.1178385550646217,7.167910269062976,2.9479251121779404
Kuga,5.183773183498274,1.2594859051097271,11.998646196755804,7.582215085492092,5.645013967298117,0.0,1.3302791940465877,0.9626145994238962,6.488262292894257,1.4967194880977395,4.496452921564484,5.110732359049135,18.581512839032072,24.915379209034054,1.8073844903683578,4.13689990785232,5.680696439063254,1.182396037347919,4.274886262396108,2.68436676322863,3.7463788059767027,6.581229734190646,2.616229203659258,3.958781888470419,1.5750441328950733,4.457678171854208
Kurosagi Ichigo,4.047149235489977,0.9394665075443683,10.91616187482984,6.568364393609476,4.635327846852136,1.3302791940465877,0.0,1.660250996703373,5.675245652765528,0.7304907298552715,3.66440066839916,4.158245939116117,17.76450914140779,24.05696995234981,2.785980550315951,3.1472090007830436,5.075309156835213,0.6444099598281909,5.322066824775982,2.0755989346734283,2.7633655988493278,5.6102449824196485,3.6854281456475464,2.827858301924756,2.7241818387873433,3.897095877620765
M,5.3721553375119,1.8948524315783186,12.319346887049887,7.91728419338501,5.96713099840896,0.9626145994238962,1.660250996703373,0.0,6.709148630512771,1.7625793004131904,4.914514291803391,5.479099356250149,19.148030975602833,25.43931667777466,1.5135548414361395,4.457457298797072,6.356837665471168,1.6660012800549326,4.070858163509258,2.8186090675383015,4.201857757167598,6.939290902149428,2.374324898283234,4.333586634762952,1.7200750829024534,5.122812569794142
Mick,4.067255808920542,6.014468207579361,7.027799150185946,2.708402227159089,2.593110848504306,6.488262292894257,5.675245652765528,6.709148630512771,0.0,5.334245370966465,2.74389855476751,2.576712688045919,13.385057638111494,19.418184811152727,8.054548775762857,3.048362515466497,3.8786248865474615,5.485040395727385,10.636254405903326,4.086964051191491,3.6730504901697225,2.334860544640647,8.905238399931042,3.938766129070773,7.970465155633685,3.8207413340601417
Micky,3.943254783946102,1.10005143910351,10.646637793264087,6.277151643615817,4.329703583149715,1.4967194880977395,0.7304907298552715,1.7625793004131904,5.334245370966465,0.0,3.4206499881168355,3.8748633228645724,17.560295013062007,23.837544211856112,3.0437517959025815,2.8938201679003166,4.908720958368852,0.5434053402435106,5.59532507656673,1.6825608222375517,2.5760035044090515,5.356871554215338,3.92184022177505,2.6767270383183623,2.9478547328845055,3.7542082273169783
