,P13,P14,P12,P07,P10,P06
P13,0.0,0.13346895169706113,0.12988574984228107,0.14753204053207095,0.15101004972311674,0.1623500717786872
P14,0.13346895169706113,0.0,0.14203189153210494,0.15516911375743067,0.14052419340675332,0.17143005386190918
P12,0.12988574984228107,0.14203189153210494,0.0,0.1328445785644571,0.14900664845471787,0.13610968838156892
P07,0.14753204053207095,0.15516911375743067,0.1328445785644571,0.0,0.16644225917891697,0.13190885849637277
P10,0.15101004972311674,0.14052419340675332,0.14900664845471787,0.16644225917891697,0.0,0.18785312295115297
P06,0.1623500717786872,0.17143005386190918,0.13610968838156892,0.13190885849637277,0.18785312295115297,0.0
