,Bao,Chokdee`,DDDD,JJ,Ja,Kuga,Kurosagi Ichigo,M,Mick,Micky,Naenon,Offroad,Plub,Shimmy,Tack,Tw,champion,gobgab,march,name,sine,superidol,ก้องฟ้า,น้ำ,เจ,เทพซ่า676767677
Bao,0.0,1.5099353449258115,1.6587901584837,1.4530686433199025,1.6960136319449415,1.581490357448789,1.2521825171687777,1.5830046475496915,2.867069483682671,1.5591224179518044,1.4952278923101163,1.765700350588462,1.5546792710812736,1.3339614149130472,1.680472182874803,1.5972394328998778,1.4358596847984968,1.402425166863483,1.5062340937926941,1.6085828894877061,1.4647718960930673,1.4174070033892288,1.4344422082195651,1.596934992584541,1.468218702708129,1.5364756257152872
Chokdee`,1.5099353449258115,0.0,1.7622060188631068,1.3716827311826079,1.5176378063763174,1.2375275106172345,1.2665847193805837,1.4538859713386487,2.6396666510741658,1.2488104641886135,1.0653118380296496,1.6457101719703437,1.5102005977009236,1.290366226362966,1.0839640046193737,1.3468914295206678,1.072939267406211,1.1231048905643932,1.385504238132161,1.4151528996784577,1.1624618889633498,1.4631678504825516,1.0075875103186305,1.3000028111421553,1.3531740715538212,1.3257100419551526
DDDD,1.6587901584837,1.7622060188631068,0.0,1.9775957878636083,1.827121779350655,2.0135338415732282,2.0144987946107644,1.777080399765396,3.233263578764812,2.095805871084305,1.5463463933126327,2.1045386001576465,1.5331076789858846,1.810921561401099,2.221854227177781,2.0640245095385854,2.0218309036901685,1.5213631408351205,2.3284820518648086,1.8864986678914104,1.9917539135783828,1.4308229636339918,1.6021930709612453,2.090662165810272,1.6438843803136127,2.020019744402913
JJ,1.4530686433199025,1.3716827311826079,1.9775957878636083,0.0,1.1921511316332163,1.0579150593329543,1.153779907368462,1.9778679355187554,2.1601083257859455,1.1879153561219824,1.2503846498695965,0.9173701385376624,1.5760252552590983,1.2931339978278693,1.5396528669905478,0.9883238318931492,1.0774585720034484,1.252038392813591,1.6979260259215228,1.5224080962143354,0.8399135330913271,1.3452240433085907,1.478676775251491,1.084634467213456,1.8594940341148483,1.047735510704707
Ja,1.6960136319449415,1.5176378063763174,1.827121779350655,1.1921511316332163,0.0,0.9150835169913681,1.018630663917861,1.282873680333362,3.1011949408129125,0.977218131804907,1.3948849958122467,0.727943473512504,1.0852173905075282,1.5017101821939614,1.1893681838565489,0.7520403389918605,1.3061125617522775,1.0817591686968926,2.091805640129532,1.3850223462072495,0.8376482522738927,1.339498805725169,1.5590668567305364,0.7431092040341003,1.7052045420464597,0.7985852149724612
Kuga,1.581490357448789,1.2375275106172345,2.0135338415732282,1.0579150593329543,0.9150835169913681,0.0,0.6558956801397697,1.671360982305654,2.965191208235641,0.5695885860352092,1.095914231032773,0.7895322764679027,0.8276500458149134,1.4549084218949704,0.8862598930346847,0.49121027631013875,0.8944936040242222,0.7606630867148569,1.4041261284778097,1.6466158826809039,0.6554640000165464,1.211651360632073,1.2219189624277935,0.4762882200331672,1.4030960332256077,0.5547852349490086
Kurosagi Ichigo,1.2521825171687777,1.2665847193805837,2.0144987946107644,1.153779907368462,1.018630663917861,0.6558956801397697,0.0,1.6097143620079941,2.7216560606450297,0.7203963245398726,1.0169745344233094,0.9945907222866043,1.0199249793933378,1.4086421230174426,0.8438048032976319,0.7189898167957662,0.8666901204401125,0.7013071213951784,1.190381220940468,1.6817371208121286,0.7827822491040362,1.157761907692754,1.143597850763933,0.7615314795362418,1.10271273222598,0.7995689502636029
M,1.5830046475496915,1.4538859713386487,1.777080399765396,1.9778679355187554,1.282873680333362,1.671360982305654,1.6097143620079941,0.0,2.7265108380427416,1.7275506351642567,1.3480850177326886,1.8679363730213507,1.4604476118550438,1.6058917563684272,1.737540464602282,1.68574941757611,1.6865661031813322,1.465203135259318,1.9706617965936795,1.4231443266456596,1.6712335597474242,1.6361921791220717,1.6365234776538622,1.752034763945269,1.5499126523644478,1.6352190810574905
Mick,2.867069483682671,2.6396666510741658,3.233263578764812,2.1601083257859455,3.1011949408129125,2.965191208235641,2.7216560606450297,2.7265108380427416,0.0,2.9828491561515516,2.6466608233917297,3.1277986230305657,2.977572749465929,2.882294931553345,3.024931714397703,2.9954235790692114,2.48431619083615,2.6041089635667203,2.610129856502751,2.1522237130618627,2.471414441771613,2.952954471549714,2.613431201999918,2.9675863749802627,2.837923940793185,3.004913175186991
Micky,1.5591224179518044,1.2488104641886135,2.095805871084305,1.1879153561219824,0.977218131804907,0.5695885860352092,0.7203963245398726,1.7275506351642567,2.9828491561515516,0.0,1.1478762800256588,1.0046486267002492,0.812372450588844,1.4590980778866283,0.6686080599289173,0.7720309221235437,0.8471253099019598,0.9110637484084311,1.3165533170461128,1.6649866477773623,0.7487044716520839,1.3267088894166883,1.192526649470353,0.7483204052962986,1.3331174959591547,0.7186782635848921
Naenon,1.4952278923101163,1.0653118380296496,1.5463463933126327,1.2503846498695965,1.3948849958122467,1.095914231032773,1.0169745344233094,1.3480850177326886,2.6466608233917297,1.1478762800256588,0.0,1.3830490592248887,0.9001043066363286,1.615090011712913,1.216486895041394,1.1428673219009475,1.0718844564768477,0.6061032142004468,1.726540758369161,1.376708163558264,1.1135647513177738,1.056211427205818,0.7888573959032962,1.2012569774441781,1.351904733083793,1.1738935564058437
Offroad,1.765700350588462,1.6457101719703437,2.1045386001576465,0.9173701385376624,0.727943473512504,0.7895322764679027,0.9945907222866043,1.8679363730213507,3.1277986230305657,1.0046486267002492,1.3830490592248887,0.0,1.1570822712317592,1.5492539936288763,1.291382095046218,0.555922092570467,1.0986881013996466,1.1095176842805374,1.9192234340537127,1.7460114590155857,0.8243486820805439,1.1796823833494852,1.6278159011151383,0.6227963916036702,1.7036072099555362,0.8048785203276185
Plub,1.5546792710812736,1.5102005977009236,1.5331076789858846,1.5760252552590983,1.0852173905075282,0.8276500458149134,1.0199249793933378,1.4604476118550438,2.977572749465929,0.812372450588844,0.9001043066363286,1.1570822712317592,0.0,1.8123748089696097,1.078569309810266,0.973445202463456,1.397219240169966,0.8454192544622577,1.9450115923168527,1.34696980518743,0.8963185086932248,1.4435420221589055,1.1571561691655359,0.8392921834880193,1.4613027960315426,0.8752629328345386
Shimmy,1.3339614149130472,1.290366226362966,1.810921561401099,1.2931339978278693,1.5017101821939614,1.4549084218949704,1.4086421230174426,1.6058917563684272,2.882294931553345,1.4590980778866283,1.615090011712913,1.5492539936288763,1.8123748089696097,0.0,1.5699430037336943,1.4474457059103034,1.1881162295990602,1.34185851102495,1.7231657400249185,1.5195464038459823,1.3327798836982099,1.7002339944518559,1.6736676915623063,1.506963721627284,1.7112044308233172,1.548757266723149
Tack,1.680472182874803,1.0839640046193737,2.221854227177781,1.5396528669905478,1.1893681838565489,0.8862598930346847,0.8438048032976319,1.737540464602282,3.024931714397703,0.6686080599289173,1.216486895041394,1.291382095046218,1.078569309810266,1.5699430037336943,0.0,1.0531420158180445,1.209177969606206,0.9150355418546278,1.094589534145813,1.7611912885930507,1.0902875088506865,1.596193387410144,0.9798342127600815,1.0298184257384166,1.3041850370953239,0.9548562612543977
Tw,1.5972394328998778,1.3468914295206678,2.0640245095385854,0.9883238318931492,0.7520403389918605,0.49121027631013875,0.7189898167957662,1.68574941757611,2.9954235790692114,0.7720309221235437,1.1428673219009475,0.555922092570467,0.973445202463456,1.4474457059103034,1.0531420158180445,0.0,0.9301599853692165,0.831390478901178,1.538817968100177,1.606487211045671,0.6698255256941271,1.1384894880315675,1.3014368640156913,0.49850424635738044,1.5208713435272105,0.5311683326163362
champion,1.4358596847984968,1.072939267406211,2.0218309036901685,1.0774585720034484,1.3061125617522775,0.8944936040242222,0.8666901204401125,1.6865661031813322,2.48431619083615,0.8471253099019598,1.0718844564768477,1.0986881013996466,1.397219240169966,1.1881162295990602,1.209177969606206,0.9301599853692165,0.0,0.8603862809804744,1.62695034706099,1.513331820296697,0.9739446677840764,1.25121862413187,1.172394192347157,0.9425358429592808,1.4270868652857935,0.9733403097019045
gobgab,1.402425166863483,1.1231048905643932,1.5213631408351205,1.252038392813591,1.0817591686968926,0.7606630867148569,0.7013071213951784,1.465203135259318,2.6041089635667203,0.9110637484084311,0.6061032142004468,1.1095176842805374,0.8454192544622577,1.34185851102495,0.9150355418546278,0.831390478901178,0.8603862809804744,0.0,1.6837720275651562,1.3594566505077132,0.8121712532212462,1.0679673517877706,0.7451269619248685,0.8249972337244236,1.22976791716521,0.8143726321118638
march,1.5062340937926941,1.385504238132161,2.3284820518648086,1.6979260259215228,2.091805640129532,1.4041261284778097,1.190381220940468,1.9706617965936795,2.610129856502751,1.3165533170461128,1.726540758369161,1.9192234340537127,1.9450115923168527,1.7231657400249185,1.094589534145813,1.538817968100177,1.62695034706099,1.6837720275651562,0.0,1.940889515737988,1.3714358876549455,1.8124648157119534,1.4745504025191867,1.5570602608664088,1.4029684703711462,1.487233893927208
name,1.6085828894877061,1.4151528996784577,1.8864986678914104,1.5224080962143354,1.3850223462072495,1.6466158826809039,1.6817371208121286,1.4231443266456596,2.1522237130618627,1.6649866477773623,1.376708163558264,1.7460114590155857,1.34696980518743,1.5195464038459823,1.7611912885930507,1.606487211045671,1.513331820296697,1.3594566505077132,1.940889515737988,0.0,1.4249811680742892,1.6351874905032522,1.6824903721861824,1.613568690338396,1.6619125975464522,1.6036532664857455
sine,1.4647718960930673,1.1624618889633498,1.9917539135783828,0.8399135330913271,0.8376482522738927,0.6554640000165464,0.7827822491040362,1.6712335597474242,2.471414441771613,0.7487044716520839,1.1135647513177738,0.8243486820805439,0.8963185086932248,1.3327798836982099,1.0902875088506865,0.6698255256941271,0.9739446677840764,0.8121712532212462,1.3714358876549455,1.4249811680742892,0.0,1.1827433005310992,1.2861973738863157,0.6476808155161174,1.4885487748559159,0.5944526748197478
superidol,1.4174070033892288,1.4631678504825516,1.4308229636339918,1.3452240433085907,1.339498805725169,1.211651360632073,1.157761907692754,1.6361921791220717,2.952954471549714,1.3267088894166883,1.056211427205818,1.1796823833494852,1.4435420221589055,1.7002339944518559,1.596193387410144,1.1384894880315675,1.25121862413187,1.0679673517877706,1.8124648157119534,1.6351874905032522,1.1827433005310992,0.0,1.2729165047542994,1.1394900134691743,1.3611893798065058,1.164345058451563
ก้องฟ้า,1.4344422082195651,1.0075875103186305,1.6021930709612453,1.478676775251491,1.5590668567305364,1.2219189624277935,1.143597850763933,1.6365234776538622,2.613431201999918,1.192526649470353,0.7888573959032962,1.6278159011151383,1.1571561691655359,1.6736676915623063,0.9798342127600815,1.3014368640156913,1.172394192347157,0.7451269619248685,1.4745504025191867,1.6824903721861824,1.2861973738863157,1.2729165047542994,0.0,1.3630689329309034,1.3293303632421922,1.2118858815334017
น้ำ,1.596934992584541,1.3000028111421553,2.090662165810272,1.084634467213456,0.7431092040341003,0.4762882200331672,0.7615314795362418,1.752034763945269,2.9675863749802627,0.7483204052962986,1.2012569774441781,0.6227963916036702,0.8392921834880193,1.506963721627284,1.0298184257384166,0.49850424635738044,0.9425358429592808,0.8249972337244236,1.5570602608664088,1.613568690338396,0.6476808155161174,1.1394900134691743,1.3630689329309034,0.0,1.4866747757310552,0.5194478403361266
เจ,1.468218702708129,1.3531740715538212,1.6438843803136127,1.8594940341148483,1.7052045420464597,1.4030960332256077,1.10271273222598,1.5499126523644478,2.837923940793185,1.3331174959591547,1.351904733083793,1.7036072099555362,1.4613027960315426,1.7112044308233172,1.3041850370953239,1.5208713435272105,1.4270868652857935,1.22976791716521,1.4029684703711462,1.6619125975464522,1.4885487748559159,1.3611893798065058,1.3293303632421922,1.4866747757310552,0.0,1.41025478453074
เทพซ่า676767677,1.5364756257152872,1.3257100419551526,2.020019744402913,1.047735510704707,0.7985852149724612,0.5547852349490086,0.7995689502636029,1.6352190810574905,3.004913175186991,0.7186782635848921,1.1738935564058437,0.8048785203276185,0.8752629328345386,1.548757266723149,0.9548562612543977,0.5311683326163362,0.9733403097019045,0.8143726321118638,1.487233893927208,1.6036532664857455,0.5944526748197478,1.164345058451563,1.2118858815334017,0.5194478403361266,1.41025478453074,0.0
