,P13,P14,P12,P07,P10,P06
P13,0.0,14.416484835874515,13.10411431266878,15.471243297191272,13.653889954275169,13.556096193727312
P14,14.416484835874515,0.0,14.419297515371921,14.298543004419763,14.220069493393137,13.244951697410078
P12,13.10411431266878,14.419297515371921,0.0,14.435272836273736,12.785277456773416,14.518430777459416
P07,15.471243297191272,14.298543004419763,14.435272836273736,0.0,13.354635891386668,12.568308698152563
P10,13.653889954275169,14.220069493393137,12.785277456773416,13.354635891386668,0.0,13.461196200913829
P06,13.556096193727312,13.244951697410078,14.518430777459416,12.568308698152563,13.461196200913829,0.0
