participant_code,Bao,Chokdee`,DDDD,JJ,Ja,Kuga,Kurosagi Ichigo,M,Mick,Micky,Naenon,Offroad,Plub,Shimmy,Tack,Tw,champion,gobgab,march,name,sine,superidol,ก้องฟ้า,น้ำ,เจ,เทพซ่า676767677
Bao,0.0,3.139570480979054,5.104416604772041,7.698565058038024,5.486320428795003,0.4764462077098382,1.82102979722606,0.9631535215148446,3.9765472556719796,1.5035648853132701,3.1065429518792946,5.573299343882963,1.1169728808184263,4.2680683768659815,3.4952070021902992,3.2375071562019815,1.2255660844448533,0.8779288871159234,4.25061701119553,1.0187646134280255,1.78640663332553,3.41483260395605,2.301763159420972,0.9985688367763034,1.687456592930493,4.930517562978909
Chokdee`,3.139570480979054,0.0,8.196152233424126,10.654268979283433,8.573990263318601,3.180183808246144,2.0204892416458837,3.2573844144163875,6.723854207864632,2.576160076295574,5.9763917487437235,8.650802780659424,3.770228074041918,7.319263350472888,0.5892222844089888,6.268203429508522,3.945226194147814,2.4040078694576597,2.3281008527070823,3.2512616577450264,4.831287898528698,6.486987051151894,2.1554430692784825,3.75949544669651,3.5537397231509087,7.620917911764803
DDDD,5.104416604772041,8.196152233424126,0.0,3.051592992275041,0.8497844151553205,5.038824707257949,6.625595987994136,5.217112730383299,2.7244133094137934,6.0733938349884795,2.623952575321373,0.832019666804523,4.659683254648622,1.432864478769282,8.545226999109774,2.3225401738647076,4.557359196097723,5.8573939454141675,9.024993281299016,5.292305946842899,3.467423435731749,1.7802603643942694,6.900730403130543,4.516412095868527,5.256731386491214,2.6965251812632904
JJ,7.698565058038024,10.654268979283433,3.051592992275041,0.0,3.055980908289831,7.606602997337062,9.24019723829105,7.911906314610081,4.269673384756434,8.559110484787292,4.715882606872689,3.0166624596972262,7.225445074153024,4.177583825673127,10.950002194143126,5.203615443833627,7.228558125403839,8.431261918264138,11.646769082816505,8.004468406552832,6.1003649321751725,4.566673884190413,9.414444953543597,6.984721655735048,7.655309918879916,3.315986075548703
Ja,5.486320428795003,8.573990263318601,0.8497844151553205,3.055980908289831,0.0,5.437042828260837,6.94548968238193,5.564989993641701,3.0379622606715317,6.405750459870607,3.1698073020292945,0.9578258699961553,4.950045839247713,1.6078276766100912,8.934173320963462,2.5769431196506987,4.834139534919205,6.252537773696302,9.352328669022292,5.569035754670337,3.7881542177493954,2.1926898175656877,7.318662546100621,4.927927975567046,5.5921926885851585,3.1777836339442183
Kuga,0.4764462077098382,3.180183808246144,5.038824707257949,7.606602997337062,5.437042828260837,0.0,1.8096297407591797,0.8748684997501277,3.8739036000508276,1.5516558094382942,2.9748725957942788,5.51137911911011,1.0182390874974192,4.234978651209045,3.5483853600273116,3.151822717954846,1.1985097932433995,0.9259047356387679,4.251055774956158,1.0999756523195618,1.734321593122556,3.3283948063442375,2.358167308922723,0.7891505043661887,1.490866679362018,4.815230188711127
Kurosagi Ichigo,1.82102979722606,2.0204892416458837,6.625595987994136,9.24019723829105,6.94548968238193,1.8096297407591797,0.0,1.5409669728494517,5.35179557072019,1.3240077233981942,4.664343237060316,7.087653554046551,2.173073582905998,5.714001232379972,2.429010775117589,4.559753967854582,2.264270112887597,1.3749950005880882,2.7923264286085834,1.527979869373111,3.250590927362014,4.8971225742405275,2.3067785107265797,2.41489326753452,1.9762310347535363,6.4834013034391935
M,0.9631535215148446,3.2573844144163875,5.217112730383299,7.911906314610081,5.564989993641701,0.8748684997501277,1.5409669728494517,0.0,4.203516390808286,1.4887566615465848,3.3994223638662087,5.690800135965797,1.1036157623108733,4.361251565542494,3.6290780810849967,3.150115671853167,1.0755222892448901,1.2300763991306303,3.9422279698870715,0.662771871507236,1.9163396443031413,3.4998174161468567,2.7038215171367597,1.3908970378763963,1.3678357850829006,5.323757521677285
Mick,3.9765472556719796,6.723854207864632,2.7244133094137934,4.269673384756434,3.0379622606715317,3.8739036000508276,5.35179557072019,4.203516390808286,0.0,4.5137449733366335,1.5204574318900292,3.2706709011880046,3.4190107782752692,2.571769380227109,6.983353808734703,2.663147928007093,3.535492145940914,4.6632922839741795,7.807371690391176,4.26897715321038,2.587179212875275,2.149749983727261,5.832727745366023,3.2517154437223574,3.696994771574063,1.942907758285719
Micky,1.5035648853132701,2.576160076295574,6.0733938349884795,8.559110484787292,6.405750459870607,1.5516558094382942,1.3240077233981942,1.4887566615465848,4.5137449733366335,0.0,3.999945114000129,6.546662084114931,1.791150543956166,5.1412269868081495,2.8697974496004126,4.159479538547698,1.9527692294531958,1.3517476347521575,3.722391613318848,1.4484274721771029,2.754698950703471,4.397730310095416,2.524967923161188,1.9603134418332304,1.4598375579294336,5.756285100312324
