participant_code,Bao,Chokdee`,DDDD,JJ,Ja,Kuga,Kurosagi Ichigo,M,Mick,Micky,Naenon,Offroad,Plub,Shimmy,Tack,Tw,champion,gobgab,march,name,sine,superidol,ก้องฟ้า,น้ำ,เจ,เทพซ่า676767677
Bao,0.0,3.3945204421894197,16.16638043457963,5.28366393697718,1.5462340605777287,2.115459926228701,0.8210556990887034,2.5062636472093436,2.030714910952498,1.0436854229824872,2.028311457874918,3.9515314827491244,0.45833578824069193,4.0278109677891125,2.7624598166775343,1.0732100645746545,0.7325320729860975,1.8232762217877803,5.489070645109302,2.428995898299295,1.2721269032108582,0.7068119881070756,4.514925090482455,0.8498277409051073,2.47120949531978,1.4058401958617022
Chokdee`,3.3945204421894197,0.0,19.366636135852712,8.433363643351395,4.658699260811606,1.3670572114850248,3.8552889852234298,1.3554832987153023,1.507941162131854,3.0096434628057875,4.952372739438317,7.324711080418615,3.1358917522175367,6.213193623062285,0.8865040197667651,2.663984041558377,3.3455127564349563,1.8046560040343416,2.140331647033512,1.287091018744129,2.8333028538232163,3.326383359516814,1.1538976241272352,4.14274090688138,1.0587925343668287,3.767149600441294
DDDD,16.16638043457963,19.366636135852712,0.0,10.987151144611985,14.806635766339259,18.08294837281324,15.7075308705505,18.443106582135446,17.886749489234184,16.412431868164713,14.594120211694792,12.66114992049041,16.37654242305173,15.16987406730426,18.774933000426543,16.745011785983866,16.047308231064076,17.594917308146837,21.34102664754583,18.1565669567345,16.73296554189484,16.139416169957258,20.460682788570292,15.379201298769761,18.41705065965175,15.618076442566219
JJ,5.28366393697718,8.433363643351395,10.987151144611985,0.0,3.947778517068898,7.150118559599452,4.8198763768001855,7.535817845384772,6.9550582788519755,5.506789703013234,3.6343479763682662,2.679471060668368,5.47678034140832,5.434068000759774,7.828353541430701,5.822938436152157,5.132269769929162,6.672060197937486,10.435036897955927,7.24660049244565,5.862163117682392,5.2267438616184,9.535460729990735,4.506494117165146,7.4760282637127995,4.734032654638076
Ja,1.5462340605777287,4.658699260811606,14.806635766339259,3.947778517068898,0.0,3.3201408834113937,1.3702629887268538,3.6779767930821965,3.1890622838707907,1.7399743507771566,1.330248562635528,2.953696457063653,1.6746758148887386,3.610195774866651,4.094639324533242,2.00417997241607,1.4284004824561063,2.915325024733044,6.747225063753556,3.5245559247082174,1.9954890221375816,1.3826007697060536,5.793055262525619,0.8626204398504964,3.7252312609010825,1.3151953455060021
Kuga,2.115459926228701,1.3670572114850248,18.08294837281324,7.150118559599452,3.3201408834113937,0.0,2.604185203307198,0.7005060544629127,0.4205900273081029,1.7401951995157565,3.7066215610491215,6.005933317723104,1.833231610583199,5.131876900917078,1.0011669114094481,1.3451926536991372,2.0719476851534386,0.6494349423807169,3.4903330786793467,0.7032550909270968,1.5248387370349015,1.987487456530865,2.5108828320389036,2.83342286715277,0.6555680847060265,2.547906346099077
Kurosagi Ichigo,0.8210556990887034,3.8552889852234298,15.7075308705505,4.8198763768001855,1.3702629887268538,2.604185203307198,0.0,3.0314944254528915,2.4945918138158323,1.435579447562047,1.6484179753558714,3.5991828213362704,1.0218754323180874,4.12976393085272,3.147865732062442,1.4995284467680354,0.9150618826487311,2.2986231907234047,5.930645296554135,2.892372864361411,1.8100141085411208,1.023679287900768,4.968513248068973,0.7090893601306447,2.8836053262201213,1.3996924608778398
M,2.5062636472093436,1.3554832987153023,18.443106582135446,7.535817845384772,3.6779767930821965,0.7005060544629127,3.0314944254528915,0.0,0.97719057168013,2.2191497396021616,4.148594231833291,6.299088077737495,2.2058181803257684,5.3345537800699265,1.2461144929774102,1.8089717936966372,2.521469825373698,1.1683554707143462,3.379526551041461,1.1507842452595634,1.83756994832965,2.3419814478942302,2.4203852136075694,3.213100049306959,1.086070535885444,3.0106627621284767
Mick,2.030714910952498,1.507941162131854,17.886749489234184,6.9550582788519755,3.1890622838707907,0.4205900273081029,2.4945918138158323,0.97719057168013,0.0,1.5723188790149127,3.5350077559851996,5.923721615589329,1.7240550638724992,5.157284295056257,1.1559069625908214,1.2011667656610756,1.881491180755166,0.334048503598544,3.571819728298413,0.5087157748898177,1.4742175608054477,1.8698631154336356,2.6311533638267197,2.7174770809769564,0.7392354476686326,2.3003323197387417
Micky,1.0436854229824872,3.0096434628057875,16.412431868164713,5.506789703013234,1.7399743507771566,1.7401951995157565,1.435579447562047,2.2191497396021616,1.5723188790149127,0.0,2.179970165890455,4.5628891345987315,0.8674107902619544,4.108734322615516,2.5111029552622246,0.5322999264795031,0.7180572886323893,1.3012330259006109,5.062251863338024,1.8572842705128483,0.7490610431901703,0.7479645264917699,4.122256374029648,1.4404678701507552,2.114743039723381,1.0148989900807466
Naenon,2.028311457874918,4.952372739438317,14.594120211694792,3.6343479763682662,1.330248562635528,3.7066215610491215,1.6484179753558714,4.148594231833291,3.5350077559851996,2.179970165890455,0.0,3.071276712026165,2.2062518812091865,3.7307166367920757,4.31666716558636,2.4728193636690046,1.8895506990516573,3.2832761012683793,6.960101931132541,3.845608635761942,2.6147059882211745,1.9825078756065413,6.0397551469189565,1.4926738661106655,3.994415191242644,1.7015862996037416
Offroad,3.9515314827491244,7.324711080418615,12.66114992049041,2.679471060668368,2.953696457063653,6.005933317723104,3.5991828213362704,6.299088077737495,5.923721615589329,4.5628891345987315,3.071276712026165,0.0,4.218640556574646,4.274633686168564,6.649043339859287,4.7986885411818365,4.145549475350094,5.682696932701626,9.428947539752388,6.312816656703445,4.784191759163739,4.106666936985451,8.450748528359151,3.2309057309745666,6.3701275659341166,4.135136944806829
Plub,0.45833578824069193,3.1358917522175367,16.37654242305173,5.47678034140832,1.6746758148887386,1.833231610583199,1.0218754323180874,2.2058181803257684,1.7240550638724992,0.8674107902619544,2.2062518812091865,4.218640556574646,0.0,4.1535784109147516,2.5397371144437075,0.7959475423264639,0.6156829862956082,1.5077335807132328,5.231681419946498,2.139912653340949,1.069651275780688,0.5303251350785746,4.266551066978454,1.0516176085598494,2.2179275330981314,1.3362026259536428
Shimmy,4.0278109677891125,6.213193623062285,15.16987406730426,5.434068000759774,3.610195774866651,5.131876900917078,4.12976393085272,5.3345537800699265,5.157284295056257,4.108734322615516,3.7307166367920757,4.274633686168564,4.1535784109147516,0.0,5.770634364625946,4.349013363662328,4.2091113276429635,4.978125888529078,8.085273075337001,5.405299962550234,4.1104673393234865,4.0090887754218585,7.166233251703317,3.805383684949121,5.508690789869322,4.249298435222823
Tack,2.7624598166775343,0.8865040197667651,18.774933000426543,7.828353541430701,4.094639324533242,1.0011669114094481,3.147865732062442,1.2461144929774102,1.1559069625908214,2.5111029552622246,4.31666716558636,6.649043339859287,2.5397371144437075,5.770634364625946,0.0,2.158340589305113,2.7767613502516,1.458642986490854,2.8627595750363133,1.1828402004535667,2.4271215277329707,2.7631250555862965,1.8893057892190013,3.5094415517721544,0.5566892221506424,3.284201456404168
Tw,1.0732100645746545,2.663984041558377,16.745011785983866,5.822938436152157,2.00417997241607,1.3451926536991372,1.4995284467680354,1.8089717936966372,1.2011667656610756,0.5322999264795031,2.4728193636690046,4.7986885411818365,0.7959475423264639,4.349013363662328,2.158340589305113,0.0,0.823837309646321,0.9491328526539807,4.750987188329133,1.5520451723756477,0.6299836148204008,0.7464455000969633,3.7961827852991283,1.6137156273875952,1.7587559057759166,1.2794635481767382
champion,0.7325320729860975,3.3455127564349563,16.047308231064076,5.132269769929162,1.4284004824561063,2.0719476851534386,0.9150618826487311,2.521469825373698,1.881491180755166,0.7180572886323893,1.8895506990516573,4.145549475350094,0.6156829862956082,4.2091113276429635,2.7767613502516,0.823837309646321,0.0,1.620831818692286,5.404724002224702,2.2289910478267014,1.1781566445617715,0.5453228247048073,4.46698991850709,0.9813481582351062,2.419141115864588,0.777445887889634
gobgab,1.8232762217877803,1.8046560040343416,17.594917308146837,6.672060197937486,2.915325024733044,0.6494349423807169,2.2986231907234047,1.1683554707143462,0.334048503598544,1.3012330259006109,3.2832761012683793,5.682696932701626,1.5077335807132328,4.978125888529078,1.458642986490854,0.9491328526539807,1.620831818692286,0.0,3.8481501209456384,0.6714820649179929,1.2349142767700714,1.6240027845287681,2.919564126159832,2.4778134192964676,1.0347277570658653,2.004871610741873
march,5.489070645109302,2.140331647033512,21.34102664754583,10.435036897955927,6.747225063753556,3.4903330786793467,5.930645296554135,3.379526551041461,3.571819728298413,5.062251863338024,6.960101931132541,9.428947539752388,5.231681419946498,8.085273075337001,2.8627595750363133,4.750987188329133,5.404724002224702,3.8481501209456384,0.0,3.250254023544062,4.916707575216199,5.431943923783366,1.0247067579969467,6.236353355592704,3.1142375539265923,5.748616039563995
name,2.428995898299295,1.287091018744129,18.1565669567345,7.24660049244565,3.5245559247082174,0.7032550909270968,2.892372864361411,1.1507842452595634,0.5087157748898177,1.8572842705128483,3.845608635761942,6.312816656703445,2.139912653340949,5.405299962550234,1.1828402004535667,1.5520451723756477,2.2289910478267014,0.6714820649179929,3.250254023544062,0.0,1.762607722178307,2.2551675309784267,2.3466191486452956,3.1015556680534777,0.7647902757938493,2.5432533975211244
sine,1.2721269032108582,2.8333028538232163,16.73296554189484,5.862163117682392,1.9954890221375816,1.5248387370349015,1.8100141085411208,1.83756994832965,1.4742175608054477,0.7490610431901703,2.6147059882211745,4.784191759163739,1.069651275780688,4.1104673393234865,2.4271215277329707,0.6299836148204008,1.1781566445617715,1.2349142767700714,4.916707575216199,1.762607722178307,0.0,0.8997563918710687,3.9582475747832753,1.7560571666368003,2.025231808411069,1.507871344690124
superidol,0.7068119881070756,3.326383359516814,16.139416169957258,5.2267438616184,1.3826007697060536,1.987487456530865,1.023679287900768,2.3419814478942302,1.8698631154336356,0.7479645264917699,1.9825078756065413,4.106666936985451,0.5303251350785746,4.0090887754218585,2.7631250555862965,0.7464455000969633,0.5453228247048073,1.6240027845287681,5.431943923783366,2.2551675309784267,0.8997563918710687,0.0,4.469988450374025,0.9934654291440523,2.4051333450233985,1.0797950160469856
ก้องฟ้า,4.514925090482455,1.1538976241272352,20.460682788570292,9.535460729990735,5.793055262525619,2.5108828320389036,4.968513248068973,2.4203852136075694,2.6311533638267197,4.122256374029648,6.0397551469189565,8.450748528359151,4.266551066978454,7.166233251703317,1.8893057892190013,3.7961827852991283,4.46698991850709,2.919564126159832,1.0247067579969467,2.3466191486452956,3.9582475747832753,4.469988450374025,0.0,5.269126349957091,2.146285261828024,4.855088517289703
น้ำ,0.8498277409051073,4.14274090688138,15.379201298769761,4.506494117165146,0.8626204398504964,2.83342286715277,0.7090893601306447,3.213100049306959,2.7174770809769564,1.4404678701507552,1.4926738661106655,3.2309057309745666,1.0516176085598494,3.805383684949121,3.5094415517721544,1.6137156273875952,0.9813481582351062,2.4778134192964676,6.236353355592704,3.1015556680534777,1.7560571666368003,0.9934654291440523,5.269126349957091,0.0,3.1860153378054528,1.2987548521285495
เจ,2.47120949531978,1.0587925343668287,18.41705065965175,7.4760282637127995,3.7252312609010825,0.6555680847060265,2.8836053262201213,1.086070535885444,0.7392354476686326,2.114743039723381,3.994415191242644,6.3701275659341166,2.2179275330981314,5.508690789869322,0.5566892221506424,1.7587559057759166,2.419141115864588,1.0347277570658653,3.1142375539265923,0.7647902757938493,2.025231808411069,2.4051333450233985,2.146285261828024,3.1860153378054528,0.0,2.875402976582648
เทพซ่า676767677,1.4058401958617022,3.767149600441294,15.618076442566219,4.734032654638076,1.3151953455060021,2.547906346099077,1.3996924608778398,3.0106627621284767,2.3003323197387417,1.0148989900807466,1.7015862996037416,4.135136944806829,1.3362026259536428,4.249298435222823,3.284201456404168,1.2794635481767382,0.777445887889634,2.004871610741873,5.748616039563995,2.5432533975211244,1.507871344690124,1.0797950160469856,4.855088517289703,1.2987548521285495,2.875402976582648,0.0
