trial_uid,session_id,participant_code,trial_index,trial_type,prompt_id,prompt_typing_order,length_class,condition,duration_ms,first_key_latency_ms,event_count,insert_count,delete_count,mean_dt_ms,median_dt_ms,mean_friction,max_friction,total_time_in_error_ms,number_of_error_episodes,maximum_wrong_suffix_depth,mean_planned_geometry_burden,layout_switch_count,shift_required_count,near_key_typo_count,layout_confusion_count,shift_confusion_count,prompt_source,prompt_text,prompt_length,final_reconstructed_text,final_prefix_match_len,final_resulting_text_length,qc_prompt_available_ok,qc_event_index_ok,qc_time_monotonic_ok,qc_append_pop_ok,qc_reconstruction_ok,qc_exact_match_ok,all_core_qc_ok
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,5,short,twisted_proverb,7178,969,33,32,1,217.5151515151515,145.0,-0.1783812377468939,0.5237846050204591,0.0,0,0,0.3573046613349069,0.0,0.0,0,0,0,prompt_table,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,31,1,1,1,1,1,1,1
20260419141512-jt34p4__6__P09,20260419141512-jt34p4,ก้องฟ้า,6,main,P09,6,medium,arabic_numerals,9329,820,48,47,1,194.35416666666666,159.5,-0.22968250323943248,0.3483168314317149,328.0,1,1,0.05175808235126841,0.0,3.0,0,0,0,prompt_table,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,46,1,1,1,1,1,1,1
20260419141512-jt34p4__7__P11,20260419141512-jt34p4,ก้องฟ้า,7,main,P11,7,medium,rhythmic_repetition,7910,745,40,40,0,197.75,167.5,-0.2011232771973795,0.31474988049061703,0.0,0,0,0.12699985317406148,0.0,0.0,0,0,0,prompt_table,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,40,1,1,1,1,1,1,1
20260419141512-jt34p4__8__P10,20260419141512-jt34p4,ก้องฟ้า,8,main,P10,8,medium,thai_numerals,18950,760,74,60,14,256.0810810810811,176.0,-0.175303036048335,0.7700704995757885,3364.0,4,3,-0.11002941529760568,0.0,7.0,4,0,0,prompt_table,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,46,1,1,1,1,1,1,1
20260419141512-jt34p4__9__P06,20260419141512-jt34p4,ก้องฟ้า,9,main,P06,9,medium,mixed_symbols_identification,17071,742,68,60,8,251.0441176470588,195.5,-0.0987894405706553,0.8365325817152636,5051.0,5,3,0.1703123137233907,3.0,0.0,2,2,0,prompt_table,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,52,1,1,1,1,1,1,1
20260419145443-omhtrx__0__PRACTICE,20260419145443-omhtrx,JJ,0,practice,PRACTICE,0,practice,practice_warmup,34055,4430,43,40,3,791.9767441860465,321.0,0.08602736910169552,1.3188956422468745,1372.0,2,2,0.15430314624135133,0.0,2.0,1,0,0,recovered_from_event_log_consensus,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,37,1,1,1,1,1,1,1
20260419145443-omhtrx__10__P08,20260419145443-omhtrx,JJ,10,main,P08,10,medium,formal_lexical_difficulty,37983,5051,60,58,2,633.05,434.0,0.11525374693461173,0.9849899554428249,798.0,2,1,-0.2783306182940457,0.0,1.0,1,0,0,prompt_table,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,56,1,1,1,1,1,1,1
20260419145443-omhtrx__11__P07,20260419145443-omhtrx,JJ,11,main,P07,11,medium,formal_educational,40235,1959,74,70,4,543.7162162162163,343.0,0.10088200536954019,0.827284438302449,1411.0,3,2,-0.15153475126317603,0.0,2.0,0,0,0,prompt_table,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,66,1,1,1,1,1,1,1
20260419145443-omhtrx__12__P12,20260419145443-omhtrx,JJ,12,main,P12,12,long,long_familiar_expository,84644,1464,141,134,7,600.3120567375887,369.0,0.14167961873543394,1.2419912294580062,4732.0,5,2,0.23032620598243725,0.0,5.0,0,0,3,prompt_table,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,127,1,1,1,1,1,1,1
20260419145443-omhtrx__13__P14,20260419145443-omhtrx,JJ,13,main,P14,13,long,long_mixed_difficulty,156044,32786,179,162,17,871.754189944134,437.0,0.18742093081783245,1.6403151271830938,11813.0,14,2,-0.030447549124979396,0.0,25.0,7,0,1,prompt_table,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,145,1,1,1,1,1,1,1
20260419145443-omhtrx__14__P13,20260419145443-omhtrx,JJ,14,main,P13,14,long,long_formal_bureaucratic,104559,2361,157,150,7,665.9808917197453,423.0,0.1651471259232899,1.009314550815563,3140.0,4,3,0.08646240409475492,0.0,10.0,0,0,1,prompt_table,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,143,1,1,1,1,1,1,1
20260419145443-omhtrx__1__P01,20260419145443-omhtrx,JJ,1,main,P01,1,short,familiar_baseline,18050,3598,32,30,2,564.0625,306.0,0.05895728479354641,0.9725212732136554,2518.0,2,1,-0.1934795356234751,0.0,1.0,0,0,0,prompt_table,วันนี้เราจะทำการบ้านให้เสร็จ,28,วันนี้เราจะทำการบ้านให้เสร็จ,28,28,1,1,1,1,1,1,1
20260419145443-omhtrx__2__P02,20260419145443-omhtrx,JJ,2,main,P02,2,short,familiar_polite,22201,3909,35,29,6,634.3142857142857,326.0,0.22166488469865162,1.0831873076881826,4767.0,2,5,0.39241819041886056,0.0,1.0,1,0,2,prompt_table,กรุณาตอบกลับภายในวันนี้,23,กรุณาตอบกลับภายในวันนี้,23,23,1,1,1,1,1,1,1
20260419145443-omhtrx__3__P04,20260419145443-omhtrx,JJ,3,main,P04,3,short,orthographic_named_entity,24636,5542,29,29,0,849.5172413793103,456.0,0.18082594313026026,1.0190514386211462,0.0,0,0,0.2722723358094719,0.0,3.0,0,0,0,prompt_table,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,29,1,1,1,1,1,1,1
