trial_uid,session_id,participant_code,trial_index,trial_type,prompt_id,prompt_typing_order,length_class,condition,duration_ms,first_key_latency_ms,event_count,insert_count,delete_count,mean_dt_ms,median_dt_ms,mean_friction,max_friction,total_time_in_error_ms,number_of_error_episodes,maximum_wrong_suffix_depth,mean_planned_geometry_burden,layout_switch_count,shift_required_count,near_key_typo_count,layout_confusion_count,shift_confusion_count,prompt_source,prompt_text,prompt_length,final_reconstructed_text,final_prefix_match_len,final_resulting_text_length,qc_prompt_available_ok,qc_event_index_ok,qc_time_monotonic_ok,qc_append_pop_ok,qc_reconstruction_ok,qc_exact_match_ok,all_core_qc_ok
20260420151441-b4zwmo__10__P08,20260420151441-b4zwmo,Mick,10,main,P08,10,medium,formal_lexical_difficulty,30838,3378,82,69,13,376.0731707317073,216.5,0.09859872362681367,1.9454228650076002,10368.0,2,12,-0.503819132195425,0.0,1.0,4,0,0,prompt_table,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,56,1,1,1,1,1,1,1
20260420151441-b4zwmo__11__P07,20260420151441-b4zwmo,Mick,11,main,P07,11,medium,formal_educational,23395,2614,70,68,2,334.2142857142857,231.0,-0.08401940958391894,0.7542479215653457,713.0,1,1,-0.20435975093423098,0.0,2.0,0,0,0,prompt_table,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,66,1,1,1,1,1,1,1
20260420151441-b4zwmo__12__P12,20260420151441-b4zwmo,Mick,12,main,P12,12,long,long_familiar_expository,47188,2494,133,130,3,354.796992481203,222.0,-0.013206535035595783,0.8219257444591732,2096.0,2,2,0.32225690698662357,0.0,5.0,1,0,0,prompt_table,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,127,1,1,1,1,1,1,1
20260420151441-b4zwmo__13__P14,20260420151441-b4zwmo,Mick,13,main,P14,13,long,long_mixed_difficulty,59369,2296,155,150,5,383.0258064516129,221.0,-0.021533803435147127,0.9708065304378769,3143.0,2,3,0.009846289145663125,0.0,13.0,1,0,0,prompt_table,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,145,1,1,1,1,1,1,1
20260420151441-b4zwmo__14__P13,20260420151441-b4zwmo,Mick,14,main,P13,14,long,long_formal_bureaucratic,55131,2506,157,150,7,351.1528662420382,217.0,-0.02432471014740486,1.1252916404809619,5415.0,3,4,0.20880593791527927,0.0,10.0,2,0,0,prompt_table,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,143,1,1,1,1,1,1,1
20260420151441-b4zwmo__1__P01,20260420151441-b4zwmo,Mick,1,main,P01,1,short,familiar_baseline,9761,1151,30,29,1,325.3666666666667,194.5,-0.0967576189512844,0.5540394247892484,697.0,1,1,-0.22734667890077764,0.0,1.0,1,0,0,prompt_table,วันนี้เราจะทำการบ้านให้เสร็จ,28,วันนี้เราจะทำการบ้านให้เสร็จ,28,28,1,1,1,1,1,1,1
20260420151441-b4zwmo__2__P02,20260420151441-b4zwmo,Mick,2,main,P02,2,short,familiar_polite,6560,1110,23,23,0,285.2173913043478,190.0,-0.09347724572441715,0.5408124215108521,0.0,0,0,0.25814509546983044,0.0,1.0,0,0,0,prompt_table,กรุณาตอบกลับภายในวันนี้,23,กรุณาตอบกลับภายในวันนี้,23,23,1,1,1,1,1,1,1
20260420151441-b4zwmo__3__P04,20260420151441-b4zwmo,Mick,3,main,P04,3,short,orthographic_named_entity,8476,1063,29,29,0,292.2758620689655,227.0,-0.04609914429069654,0.4559942612167575,0.0,0,0,0.2722723358094719,0.0,3.0,0,0,0,prompt_table,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,29,1,1,1,1,1,1,1
20260420151441-b4zwmo__4__P03,20260420151441-b4zwmo,Mick,4,main,P03,4,short,formal_register,21753,1116,76,53,23,286.2236842105263,182.0,0.38182582484363276,2.7469704789472864,10132.0,1,22,-0.32739891300773155,0.0,1.0,2,0,1,prompt_table,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,30,1,1,1,1,1,1,1
20260420151441-b4zwmo__5__P05,20260420151441-b4zwmo,Mick,5,main,P05,5,short,twisted_proverb,38195,1084,51,41,10,748.9215686274509,205.0,0.1317295016577373,1.5239287944821789,5155.0,2,5,0.21910243731544843,0.0,0.0,4,0,0,prompt_table,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,31,1,1,1,1,1,1,1
20260420151441-b4zwmo__6__P09,20260420151441-b4zwmo,Mick,6,main,P09,6,medium,arabic_numerals,37405,2897,78,62,16,479.55128205128204,207.0,0.1333217692460271,2.099095222403954,9638.0,3,13,0.03185112760078054,0.0,3.0,3,0,0,prompt_table,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,46,1,1,1,1,1,1,1
20260420151441-b4zwmo__7__P11,20260420151441-b4zwmo,Mick,7,main,P11,7,medium,rhythmic_repetition,24620,4233,54,47,7,455.9259259259259,252.0,0.0800722661354284,1.279220977757535,4420.0,1,7,-0.05668605012316612,0.0,0.0,0,0,0,prompt_table,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,40,1,1,1,1,1,1,1
20260420151441-b4zwmo__8__P10,20260420151441-b4zwmo,Mick,8,main,P10,8,medium,thai_numerals,28874,1416,52,49,3,555.2692307692307,267.5,0.08187744258140715,0.9949214022550876,803.0,1,1,-0.0813325182390934,0.0,6.0,1,0,0,prompt_table,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,46,1,1,1,1,1,1,1
20260420151441-b4zwmo__9__P06,20260420151441-b4zwmo,Mick,9,main,P06,9,medium,mixed_symbols_identification,21416,1358,52,52,0,411.84615384615387,306.0,0.04166132047302646,0.9042478260076257,0.0,0,0,0.16748171834681896,3.0,0.0,0,0,0,prompt_table,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,52,1,1,1,1,1,1,1
20260420162459-1rqejrq__0__PRACTICE,20260420162459-1rqejrq,Plub,0,practice,PRACTICE,0,practice,practice_warmup,14468,2146,41,39,2,352.8780487804878,202.0,-0.05746624838273014,0.6851526636154495,693.0,1,2,0.19019612492076718,0.0,2.0,1,0,0,recovered_from_event_log_consensus,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,37,1,1,1,1,1,1,1
20260420162459-1rqejrq__10__P08,20260420162459-1rqejrq,Plub,10,main,P08,10,medium,formal_lexical_difficulty,20335,1189,66,61,5,308.1060606060606,247.0,-0.06326823574661558,0.4783782994446482,1720.0,3,3,-0.2909671560579269,0.0,1.0,2,0,0,prompt_table,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,56,1,1,1,1,1,1,1
20260420162459-1rqejrq__11__P07,20260420162459-1rqejrq,Plub,11,main,P07,11,medium,formal_educational,27548,1220,94,80,14,293.06382978723406,192.0,0.0007823850833622291,0.7312531231120494,5821.0,3,7,-0.11726981225460868,0.0,2.0,2,0,0,prompt_table,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,66,1,1,1,1,1,1,1
20260420162459-1rqejrq__12__P12,20260420162459-1rqejrq,Plub,12,main,P12,12,long,long_familiar_expository,49411,1388,145,136,9,340.7655172413793,246.0,0.01888991244541036,0.6510140338432602,3871.0,5,4,0.2678427622262047,0.0,5.0,5,0,0,prompt_table,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,127,1,1,1,1,1,1,1
20260420162459-1rqejrq__13__P14,20260420162459-1rqejrq,Plub,13,main,P14,13,long,long_mixed_difficulty,69264,1989,173,159,14,400.3699421965318,238.0,0.01571474441541769,0.9733119177563698,5223.0,8,5,-0.08549769168889249,0.0,17.0,9,0,0,prompt_table,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,145,1,1,1,1,1,1,1
20260420162459-1rqejrq__14__P13,20260420162459-1rqejrq,Plub,14,main,P13,14,long,long_formal_bureaucratic,61966,1764,173,158,15,358.1849710982659,257.0,0.013471413625983216,0.8066099820943965,6025.0,6,5,0.01649091408798795,0.0,14.0,6,0,0,prompt_table,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,143,1,1,1,1,1,1,1
20260420162459-1rqejrq__1__P01,20260420162459-1rqejrq,Plub,1,main,P01,1,short,familiar_baseline,7914,1274,28,28,0,282.64285714285717,186.0,-0.14249864984888647,0.5025530441812415,0.0,0,0,-0.24358572739369033,0.0,1.0,0,0,0,prompt_table,วันนี้เราจะทำการบ้านให้เสร็จ,28,วันนี้เราจะทำการบ้านให้เสร็จ,28,28,1,1,1,1,1,1,1
20260420162459-1rqejrq__2__P02,20260420162459-1rqejrq,Plub,2,main,P02,2,short,familiar_polite,9138,1206,25,24,1,365.52,207.0,-0.02639580626476394,0.7279606252168164,428.0,1,1,0.30917593025006296,0.0,1.0,1,0,0,prompt_table,กรุณาตอบกลับภายในวันนี้,23,กรุณาตอบกลับภายในวันนี้,23,23,1,1,1,1,1,1,1
20260420162459-1rqejrq__3__P04,20260420162459-1rqejrq,Plub,3,main,P04,3,short,orthographic_named_entity,15252,1057,37,33,4,412.2162162162162,299.0,0.07632349399278075,0.5558429778103813,2402.0,1,3,0.08767228121571072,0.0,3.0,3,0,0,prompt_table,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,29,1,1,1,1,1,1,1
20260420162459-1rqejrq__4__P03,20260420162459-1rqejrq,Plub,4,main,P03,4,short,formal_register,13263,1061,36,33,3,368.4166666666667,255.0,0.017756653891296374,0.6096472044089083,985.0,2,2,0.11037237369391449,0.0,1.0,1,0,0,prompt_table,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,30,1,1,1,1,1,1,1
20260420162459-1rqejrq__5__P05,20260420162459-1rqejrq,Plub,5,main,P05,5,short,twisted_proverb,14802,1211,47,39,8,314.93617021276594,223.0,0.037773047478012196,0.6781667170670379,3175.0,3,5,0.19292841764056037,0.0,0.0,3,0,0,prompt_table,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,31,1,1,1,1,1,1,1
20260420162459-1rqejrq__6__P09,20260420162459-1rqejrq,Plub,6,main,P09,6,medium,arabic_numerals,98460,1291,238,142,96,413.69747899159665,213.5,1.0104017619505525,4.606929665500143,53092.0,11,42,-0.3777932679992718,0.0,3.0,22,0,3,prompt_table,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,46,1,1,1,1,1,1,1
20260420162459-1rqejrq__7__P11,20260420162459-1rqejrq,Plub,7,main,P11,7,medium,rhythmic_repetition,14025,1285,40,40,0,350.625,223.5,-0.02632741017563047,0.5055630923772244,0.0,0,0,0.12699985317406148,0.0,0.0,0,0,0,prompt_table,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,40,1,1,1,1,1,1,1
20260420162459-1rqejrq__8__P10,20260420162459-1rqejrq,Plub,8,main,P10,8,medium,thai_numerals,33242,883,60,53,7,554.0333333333333,270.5,0.08792974232295211,1.166259998582085,2749.0,5,2,0.09845421882782439,0.0,16.0,2,0,0,prompt_table,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,46,1,1,1,1,1,1,1
20260420162459-1rqejrq__9__P06,20260420162459-1rqejrq,Plub,9,main,P06,9,medium,mixed_symbols_identification,21548,1791,56,54,2,384.7857142857143,274.5,0.019191297725891017,0.9419994192916863,2222.0,2,1,0.167286785450491,5.0,0.0,1,1,0,prompt_table,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,52,1,1,1,1,1,1,1
20260421074612-1pl8erz__0__PRACTICE,20260421074612-1pl8erz,champion,0,practice,PRACTICE,0,practice,practice_warmup,22476,1742,65,51,14,345.7846153846154,163.0,-0.006605446013598319,0.6991407941866514,4758.0,4,4,-0.05347769447868514,0.0,2.0,6,1,0,recovered_from_event_log_consensus,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,37,1,1,1,1,1,1,1
20260421074612-1pl8erz__10__P08,20260421074612-1pl8erz,champion,10,main,P08,10,medium,formal_lexical_difficulty,20341,1045,64,60,4,317.828125,199.5,-0.0808068944708466,0.5803333847277841,1932.0,2,3,-0.3280608337541977,0.0,1.0,2,0,0,prompt_table,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,56,1,1,1,1,1,1,1
20260421074612-1pl8erz__11__P07,20260421074612-1pl8erz,champion,11,main,P07,11,medium,formal_educational,24812,978,96,81,15,258.4583333333333,182.5,-0.0348280476179867,0.9437752259726897,5732.0,4,9,-0.39371820762225346,0.0,2.0,1,0,1,prompt_table,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,66,1,1,1,1,1,1,1
20260421074612-1pl8erz__12__P12,20260421074612-1pl8erz,champion,12,main,P12,12,long,long_familiar_expository,49189,1108,143,135,8,343.97902097902096,207.0,-0.02439417312086099,0.6706061895165771,3542.0,5,3,0.18328597332180793,0.0,5.0,1,0,1,prompt_table,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,127,1,1,1,1,1,1,1
20260421074612-1pl8erz__13__P14,20260421074612-1pl8erz,champion,13,main,P14,13,long,long_mixed_difficulty,54515,1137,159,152,7,342.8616352201258,220.0,-0.048929466628160743,0.6911102492939905,3414.0,7,1,-0.023427348043188308,0.0,15.0,4,0,1,prompt_table,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,145,1,1,1,1,1,1,1
20260421074612-1pl8erz__14__P13,20260421074612-1pl8erz,champion,14,main,P13,14,long,long_formal_bureaucratic,62177,976,197,170,27,315.61928934010155,220.0,-0.017555955845816377,0.6516591179275978,9412.0,14,3,0.07418354999442188,0.0,16.0,8,0,2,prompt_table,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,143,1,1,1,1,1,1,1
20260421074612-1pl8erz__1__P01,20260421074612-1pl8erz,champion,1,main,P01,1,short,familiar_baseline,16666,4165,40,34,6,416.65,203.5,-0.053550909394070124,0.9174240717071325,3530.0,4,2,-0.17258198204215414,0.0,1.0,4,0,0,prompt_table,วันนี้เราจะทำการบ้านให้เสร็จ,28,วันนี้เราจะทำการบ้านให้เสร็จ,28,28,1,1,1,1,1,1,1
20260421074612-1pl8erz__2__P02,20260421074612-1pl8erz,champion,2,main,P02,2,short,familiar_polite,8932,1670,25,24,1,357.28,216.0,-0.04247058146262406,0.5973264582010893,646.0,1,1,0.27097325449731013,0.0,3.0,1,0,0,prompt_table,กรุณาตอบกลับภายในวันนี้,23,กรุณาตอบกลับภายในวันนี้,23,23,1,1,1,1,1,1,1
20260421074612-1pl8erz__3__P04,20260421074612-1pl8erz,champion,3,main,P04,3,short,orthographic_named_entity,12700,1040,33,31,2,384.8484848484849,270.0,0.014856171635883415,0.6283307770991474,1243.0,2,1,0.2293904870220603,0.0,5.0,1,0,1,prompt_table,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,29,1,1,1,1,1,1,1
20260421074612-1pl8erz__4__P03,20260421074612-1pl8erz,champion,4,main,P03,4,short,formal_register,12818,1070,36,33,3,356.05555555555554,263.5,-0.013687798759442264,0.5601106294947639,1360.0,2,1,-0.07242286164056276,0.0,1.0,1,0,0,prompt_table,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,30,1,1,1,1,1,1,1
20260421074612-1pl8erz__5__P05,20260421074612-1pl8erz,champion,5,main,P05,5,short,twisted_proverb,15987,949,47,39,8,340.1489361702128,198.0,0.07125783525714806,0.7467703547849147,3762.0,4,4,0.706397487843121,0.0,0.0,2,0,0,prompt_table,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,31,1,1,1,1,1,1,1
20260421074612-1pl8erz__6__P09,20260421074612-1pl8erz,champion,6,main,P09,6,medium,arabic_numerals,22738,1087,70,58,12,324.8285714285714,209.0,0.027154189859498804,0.8327260672231259,4073.0,5,4,0.2062261200868841,0.0,5.0,4,0,1,prompt_table,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,46,1,1,1,1,1,1,1
20260421074612-1pl8erz__7__P11,20260421074612-1pl8erz,champion,7,main,P11,7,medium,rhythmic_repetition,13300,872,42,41,1,316.6666666666667,218.0,-0.08560188658115646,0.5108906636472008,407.0,1,1,0.21052618531636055,0.0,0.0,0,0,0,prompt_table,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,40,1,1,1,1,1,1,1
20260421074612-1pl8erz__8__P10,20260421074612-1pl8erz,champion,8,main,P10,8,medium,thai_numerals,42791,1109,68,57,11,629.2794117647059,277.5,0.15456877660583435,1.0854474784903565,6575.0,7,2,0.3399420938843718,0.0,20.0,1,2,2,prompt_table,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,46,1,1,1,1,1,1,1
20260421074612-1pl8erz__9__P06,20260421074612-1pl8erz,champion,9,main,P06,9,medium,mixed_symbols_identification,18767,1340,54,53,1,347.537037037037,218.0,-0.03589032871324922,0.5202372694749875,470.0,1,1,0.1612786917413812,3.0,0.0,1,0,0,prompt_table,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,52,1,1,1,1,1,1,1
20260422072537-15iap6f__0__PRACTICE,20260422072537-15iap6f,Naenon,0,practice,PRACTICE,0,practice,practice_warmup,58248,1685,159,98,61,366.33962264150944,172.0,0.7359941339751307,4.4361104272142775,30323.0,13,37,0.048788322750424364,0.0,4.0,10,3,0,recovered_from_event_log_consensus,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,37,1,1,1,1,1,1,1
20260422072537-15iap6f__10__P08,20260422072537-15iap6f,Naenon,10,main,P08,10,medium,formal_lexical_difficulty,21649,2264,70,63,7,309.27142857142854,219.0,-0.07913319263764124,0.703899921739827,2729.0,5,2,-0.3779279350895415,0.0,1.0,3,0,0,prompt_table,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,56,1,1,1,1,1,1,1
20260422072537-15iap6f__11__P07,20260422072537-15iap6f,Naenon,11,main,P07,11,medium,formal_educational,27551,982,100,83,17,275.51,210.5,-0.056045215978525756,0.6977980966903666,5054.0,7,4,-0.28302692023207754,0.0,2.0,5,0,1,prompt_table,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,66,1,1,1,1,1,1,1
20260422072537-15iap6f__12__P12,20260422072537-15iap6f,Naenon,12,main,P12,12,long,long_familiar_expository,56997,939,193,160,33,295.32124352331607,218.0,0.011102985988188105,0.6944412829360076,13335.0,20,3,0.18488043336799637,0.0,11.0,13,0,3,prompt_table,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,127,1,1,1,1,1,1,1
20260422072537-15iap6f__13__P14,20260422072537-15iap6f,Naenon,13,main,P14,13,long,long_mixed_difficulty,71380,1116,251,198,53,284.38247011952194,214.0,-0.0117048363856907,0.8328587808706504,18012.0,25,3,-0.05791531996274028,0.0,26.0,12,4,4,prompt_table,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,145,1,1,1,1,1,1,1
20260422072537-15iap6f__14__P13,20260422072537-15iap6f,Naenon,14,main,P13,14,long,long_formal_bureaucratic,70141,1150,241,192,49,291.0414937759336,211.0,-0.016204868506646493,0.9008893238718041,18214.0,27,3,-0.053895536260081936,0.0,18.0,19,0,1,prompt_table,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,143,1,1,1,1,1,1,1
