source_node_id,target_node_id,source_physical_key_id,target_physical_key_id,source_keycode,target_keycode,distance,is_adjacent
Backslash,Period,Backslash,Period,220,190,4.0,0
Backslash,Quote,Backslash,Quote,220,222,2.0,0
Backslash,Semicolon,Backslash,Semicolon,220,186,3.0,0
Backslash,Slash,Backslash,Slash,220,191,3.0,0
Backslash,Space,Backslash,Space,220,32,,0
BracketLeft,Backquote,BracketLeft,Backquote,219,192,11.0,0
BracketLeft,Backslash,BracketLeft,Backslash,219,220,2.0,0
BracketLeft,BracketLeft,BracketLeft,BracketLeft,219,219,0.0,0
BracketLeft,BracketRight,BracketLeft,BracketRight,219,221,1.0,1
BracketLeft,Comma,BracketLeft,Comma,219,188,3.0,0
BracketLeft,Digit0,BracketLeft,Digit0,219,48,1.0,1
BracketLeft,Digit1,BracketLeft,Digit1,219,49,10.0,0
BracketLeft,Digit2,BracketLeft,Digit2,219,50,9.0,0
BracketLeft,Digit3,BracketLeft,Digit3,219,51,8.0,0
BracketLeft,Digit4,BracketLeft,Digit4,219,52,7.0,0
BracketLeft,Digit5,BracketLeft,Digit5,219,53,6.0,0
BracketLeft,Digit6,BracketLeft,Digit6,219,54,5.0,0
BracketLeft,Digit7,BracketLeft,Digit7,219,55,4.0,0
BracketLeft,Digit8,BracketLeft,Digit8,219,56,3.0,0
BracketLeft,Digit9,BracketLeft,Digit9,219,57,2.0,0
BracketLeft,Equal,BracketLeft,Equal,219,187,1.0,1
BracketLeft,KeyA,BracketLeft,KeyA,219,65,10.0,0
BracketLeft,KeyB,BracketLeft,KeyB,219,66,6.0,0
BracketLeft,KeyC,BracketLeft,KeyC,219,67,8.0,0
BracketLeft,KeyD,BracketLeft,KeyD,219,68,8.0,0
BracketLeft,KeyE,BracketLeft,KeyE,219,69,8.0,0
BracketLeft,KeyF,BracketLeft,KeyF,219,70,7.0,0
BracketLeft,KeyG,BracketLeft,KeyG,219,71,6.0,0
BracketLeft,KeyH,BracketLeft,KeyH,219,72,5.0,0
BracketLeft,KeyI,BracketLeft,KeyI,219,73,3.0,0
BracketLeft,KeyJ,BracketLeft,KeyJ,219,74,4.0,0
BracketLeft,KeyK,BracketLeft,KeyK,219,75,3.0,0
BracketLeft,KeyL,BracketLeft,KeyL,219,76,2.0,0
