trial_uid,session_id,participant_code,trial_index,trial_type,prompt_id,prompt_position,prompt_position_1based,time_to_first_correct_ms,time_to_stability_ms,revisions,wrong_first
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,2,3,880,880,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,3,4,1014,1014,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,4,5,1089,1089,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,5,6,1269,1269,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,6,7,1467,1467,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,7,8,1513,1513,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,8,9,1705,1705,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,9,10,1748,1748,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,10,11,1830,1830,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,11,12,2020,2020,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,12,13,2100,2100,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,13,14,2321,2321,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,14,15,2420,2420,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,15,16,2591,2591,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,16,17,2738,2738,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,17,18,2889,2889,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,18,19,2952,2952,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,19,20,2993,2993,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,20,21,3499,3499,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,21,22,3641,3641,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,22,23,3700,3700,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,23,24,3879,3879,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,24,25,3940,3940,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,25,26,4134,4134,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,26,27,4728,4728,0,0
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,27,28,5297,5297,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,0,1,695,695,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,1,2,775,775,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,2,3,929,929,0,0
