participant_code,n_main_trials,mean_trial_duration_ms,mean_duration_per_character,mean_delete_count,mean_friction,mean_number_of_error_episodes,mean_maximum_wrong_suffix_depth,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate
DDDD,14.0,63404.5,1422.8195324497476,13.785714285714286,0.23135794775241017,12.0,1.4285714285714286,0.08253205128205128,0.0008012820512820513,0.0
Offroad,14.0,41732.857142857145,692.600116488029,1.6428571428571428,0.17231295345510303,1.5,0.7857142857142857,0.012114537444933921,0.0,0.0
JJ,14.0,52690.42857142857,879.4404199626272,5.5,0.17084906901563252,3.642857142857143,2.142857142857143,0.010826771653543307,0.004921259842519685,0.006889763779527559
Ja,14.0,42170.57142857143,713.5543856532295,2.4285714285714284,0.14718175579979878,1.8571428571428572,1.0,0.012903225806451613,0.004301075268817204,0.001075268817204301
superidol,14.0,39358.28571428572,653.151631741962,8.5,0.1301393614810025,4.071428571428571,3.0714285714285716,0.04363636363636364,0.0018181818181818182,0.0
Shimmy,14.0,112402.64285714286,2276.619757543385,32.285714285714285,0.09784292201783902,14.857142857142858,5.0,0.06568516421291053,0.004530011325028313,0.003963759909399773
sine,14.0,33461.857142857145,563.6009205152493,7.071428571428571,0.07973573759227517,2.857142857142857,3.7142857142857144,0.024528301886792454,0.002830188679245283,0.0018867924528301887
Plub,14.0,32583.428571428572,559.582288842506,12.714285714285714,0.07426745363541154,3.5714285714285716,5.714285714285714,0.046798029556650245,0.0008210180623973727,0.0024630541871921183
Tw,14.0,30408.0,502.8730590690099,2.357142857142857,0.051647936100288686,1.3571428571428572,1.5,0.015086206896551725,0.0,0.0
Mick,14.0,29498.64285714286,530.2265229796648,6.428571428571429,0.04069059867111486,1.3571428571428572,5.071428571428571,0.018234165067178502,0.0,0.0009596928982725527
Bao,14.0,31838.928571428572,513.279057513135,13.071428571428571,0.037825754295355056,3.7142857142857144,6.785714285714286,0.029315960912052116,0.004071661237785016,0.0008143322475570033
name,14.0,34969.0,577.3895168236289,17.928571428571427,0.020774540979258405,9.357142857142858,3.2142857142857144,0.056451612903225805,0.0007331378299120235,0.004398826979472141
เทพซ่า676767677,14.0,29008.928571428572,489.157458555071,3.7142857142857144,0.019436811227297478,1.9285714285714286,1.8571428571428572,0.019668737060041408,0.003105590062111801,0.0010351966873706005
น้ำ,14.0,28123.928571428572,482.5980569955976,4.0,-0.00022916644788487195,2.9285714285714284,1.5714285714285714,0.029774127310061602,0.001026694045174538,0.001026694045174538
Naenon,14.0,30892.571428571428,518.7450868985462,18.785714285714285,-0.007135173562804141,9.785714285714286,2.7142857142857144,0.061239193083573486,0.00792507204610951,0.009365994236311239
champion,14.0,26838.071428571428,458.5480732326265,7.571428571428571,-0.012134219231132044,4.214285714285714,2.5714285714285716,0.028864059590316574,0.00186219739292365,0.008379888268156424
Kuga,14.0,21384.64285714286,344.4222612704879,2.0,-0.033725423928716136,1.2857142857142858,1.0714285714285714,0.007625272331154684,0.0010893246187363835,0.0032679738562091504
M,14.0,28936.0,449.44627801857166,21.357142857142858,-0.039648682162825175,13.357142857142858,2.9285714285714284,0.07260273972602739,0.0,0.005479452054794521
Micky,14.0,27026.35714285714,470.29051820970386,7.571428571428571,-0.039665702032960194,2.857142857142857,4.428571428571429,0.025139664804469275,0.00186219739292365,0.00186219739292365
gobgab,14.0,22792.14285714286,375.942877209205,6.071428571428571,-0.05254098282599674,4.214285714285714,1.7142857142857142,0.023255813953488372,0.0048449612403100775,0.0029069767441860465
Kurosagi Ichigo,14.0,22097.428571428572,373.1701615360106,6.285714285714286,-0.05868733261726146,3.142857142857143,2.2857142857142856,0.025048169556840076,0.0,0.0019267822736030828
เจ,14.0,19436.071428571428,328.68076459854484,15.928571428571429,-0.13997185780611726,8.285714285714286,3.0714285714285716,0.045871559633027525,0.0022935779816513763,0.0022935779816513763
Chokdee`,14.0,24782.0,434.8256953929163,11.857142857142858,-0.1475072501354787,6.428571428571429,2.642857142857143,0.022613065326633167,0.0041876046901172526,0.005862646566164154
Tack,14.0,16684.214285714286,265.4221670776096,8.5,-0.18765624211618734,3.5714285714285716,2.142857142857143,0.025454545454545455,0.0,0.0018181818181818182
ก้องฟ้า,14.0,15038.642857142857,241.5513673143276,6.214285714285714,-0.20316639019045077,2.9285714285714284,1.7857142857142858,0.02413127413127413,0.0019305019305019305,0.0019305019305019305
march,14.0,11170.0,186.77825455681543,5.5,-0.28227375836382834,2.5714285714285716,2.7857142857142856,0.008858267716535433,0.0,0.000984251968503937
