metric,count,mean,std,min,25%,50%,75%,max
episode_duration_ms,1787.0,712.1068830442082,9031.630852192297,0.0,0.0,0.0,592.0,309964.0
max_error_suffix_depth,1787.0,1.7666480134303302,2.269088769061614,1.0,1.0,1.0,2.0,60.0
pause_before_first_delete_ms,707.0,432.14002828854314,499.753847535309,4.0,265.5,339.0,456.5,10628.0
episode_delete_count,1787.0,0.8097369893676553,2.548445563634639,0.0,0.0,0.0,1.0,59.0
episode_recovery_step_count,1787.0,0.8097369893676553,2.548445563634639,0.0,0.0,0.0,1.0,59.0
mean_friction,1787.0,0.10862652508099346,0.33014106437010843,-1.673107770333506,-0.042931385084254495,0.1129424781688958,0.27164562618899635,2.4991496814413527
