window_id,trial_uid,participant_code,prompt_id,error_episode_id,window_start_event_index,window_end_event_index,window_length,episode_duration_ms,episode_delete_count,episode_recovery_step_count,max_error_suffix_depth,mean_friction,pause_before_first_delete_ms,heuristic_recovery_style,prompt_family
20260420063815-19rm65e__14__P13__E015,20260420063815-19rm65e__14__P13,superidol,P13,15,186,194,9,609,1,1,2,0.536601907885106,436.0,other_or_shallow_episode,long_formal_bureaucratic
20260420063815-19rm65e__1__P01__E001,20260420063815-19rm65e__1__P01,superidol,P01,1,14,20,7,0,0,0,1,0.0571644851957946,,other_or_shallow_episode,familiar_baseline
20260420063815-19rm65e__1__P01__E002,20260420063815-19rm65e__1__P01,superidol,P01,2,19,25,7,0,0,0,1,-0.0989659582026716,,other_or_shallow_episode,familiar_baseline
20260420063815-19rm65e__1__P01__E003,20260420063815-19rm65e__1__P01,superidol,P01,3,21,27,7,0,0,0,1,-0.0783485518305223,,other_or_shallow_episode,familiar_baseline
20260420063815-19rm65e__3__P04__E001,20260420063815-19rm65e__3__P04,superidol,P04,1,1,7,7,0,0,0,1,0.3255855045992182,,other_or_shallow_episode,orthographic_named_entity
20260420063815-19rm65e__3__P04__E002,20260420063815-19rm65e__3__P04,superidol,P04,2,17,23,7,0,0,0,1,0.2245346060924322,,other_or_shallow_episode,orthographic_named_entity
20260420063815-19rm65e__3__P04__E003,20260420063815-19rm65e__3__P04,superidol,P04,3,28,38,11,1924,2,2,3,0.3857451903439682,781.0,deep_overshoot_then_recovery,orthographic_named_entity
20260420063815-19rm65e__4__P03__E001,20260420063815-19rm65e__4__P03,superidol,P03,1,1,6,6,696,1,1,2,0.4141146906678122,388.0,other_or_shallow_episode,formal_register
20260420063815-19rm65e__4__P03__E002,20260420063815-19rm65e__4__P03,superidol,P03,2,10,16,7,0,0,0,1,0.2825431082933931,,other_or_shallow_episode,formal_register
20260420063815-19rm65e__4__P03__E003,20260420063815-19rm65e__4__P03,superidol,P03,3,31,39,9,803,1,1,2,0.3607376078563801,557.0,pause_then_delete,formal_register
20260420063815-19rm65e__5__P05__E001,20260420063815-19rm65e__5__P05,superidol,P05,1,9,15,7,0,0,0,1,0.344865801528219,,other_or_shallow_episode,twisted_proverb
20260420063815-19rm65e__5__P05__E002,20260420063815-19rm65e__5__P05,superidol,P05,2,16,28,13,1555,3,3,4,0.311867761405681,438.0,deep_overshoot_then_recovery,twisted_proverb
20260420063815-19rm65e__5__P05__E003,20260420063815-19rm65e__5__P05,superidol,P05,3,34,48,15,3600,4,4,5,0.3555545481849902,1973.0,deep_overshoot_then_recovery,twisted_proverb
20260420063815-19rm65e__6__P09__E001,20260420063815-19rm65e__6__P09,superidol,P09,1,1,7,7,0,0,0,1,0.0739674561076913,,other_or_shallow_episode,arabic_numerals
20260420063815-19rm65e__6__P09__E002,20260420063815-19rm65e__6__P09,superidol,P09,2,10,22,13,1783,3,3,4,0.2502507073591053,414.0,deep_overshoot_then_recovery,arabic_numerals
20260420063815-19rm65e__6__P09__E003,20260420063815-19rm65e__6__P09,superidol,P09,3,26,36,11,1061,2,2,3,0.1756567846343137,366.0,deep_overshoot_then_recovery,arabic_numerals
20260420063815-19rm65e__6__P09__E004,20260420063815-19rm65e__6__P09,superidol,P09,4,48,54,7,0,0,0,1,0.1046239024535558,,other_or_shallow_episode,arabic_numerals
20260420063815-19rm65e__6__P09__E005,20260420063815-19rm65e__6__P09,superidol,P09,5,54,60,7,0,0,0,1,0.1649018804278536,,other_or_shallow_episode,arabic_numerals
20260420063815-19rm65e__7__P11__E001,20260420063815-19rm65e__7__P11,superidol,P11,1,14,22,9,1771,1,1,2,0.4858569522846828,477.0,other_or_shallow_episode,rhythmic_repetition
20260420063815-19rm65e__7__P11__E002,20260420063815-19rm65e__7__P11,superidol,P11,2,25,39,15,1421,4,4,5,0.1415830772888354,310.0,deep_overshoot_then_recovery,rhythmic_repetition
20260420063815-19rm65e__7__P11__E003,20260420063815-19rm65e__7__P11,superidol,P11,3,41,51,11,1113,2,2,3,0.1175774207493361,527.0,deep_overshoot_then_recovery,rhythmic_repetition
20260420063815-19rm65e__7__P11__E004,20260420063815-19rm65e__7__P11,superidol,P11,4,51,57,7,0,0,0,1,0.36067576829436,,other_or_shallow_episode,rhythmic_repetition
20260420063815-19rm65e__7__P11__E005,20260420063815-19rm65e__7__P11,superidol,P11,5,54,60,7,0,0,0,1,-0.0740144074481065,,other_or_shallow_episode,rhythmic_repetition
20260420063815-19rm65e__7__P11__E006,20260420063815-19rm65e__7__P11,superidol,P11,6,60,68,9,1714,1,1,2,0.5725886010391849,1022.0,pause_then_delete,rhythmic_repetition
20260420063815-19rm65e__8__P10__E001,20260420063815-19rm65e__8__P10,superidol,P10,1,3,9,7,0,0,0,1,-0.173485646706139,,other_or_shallow_episode,thai_numerals
20260420063815-19rm65e__8__P10__E002,20260420063815-19rm65e__8__P10,superidol,P10,2,9,15,7,0,0,0,1,0.4695555061719236,,other_or_shallow_episode,thai_numerals
20260420063815-19rm65e__8__P10__E003,20260420063815-19rm65e__8__P10,superidol,P10,3,18,30,13,1415,3,3,4,0.1503203691732397,470.0,deep_overshoot_then_recovery,thai_numerals
20260420063815-19rm65e__8__P10__E004,20260420063815-19rm65e__8__P10,superidol,P10,4,34,48,15,3284,4,4,5,0.4317641051644141,467.0,deep_overshoot_then_recovery,thai_numerals
20260420063815-19rm65e__8__P10__E005,20260420063815-19rm65e__8__P10,superidol,P10,5,44,64,21,3726,7,7,8,0.4069479756943157,435.0,deep_overshoot_then_recovery,thai_numerals
20260420063815-19rm65e__9__P06__E001,20260420063815-19rm65e__9__P06,superidol,P06,1,29,35,7,0,0,0,1,0.5719221597761882,,other_or_shallow_episode,mixed_symbols_identification
20260420125333-ukjjv5__11__P07__E001,20260420125333-ukjjv5__11__P07,Kuga,P07,1,35,41,7,0,0,0,1,-0.090485081171703,,other_or_shallow_episode,formal_educational
20260420125333-ukjjv5__11__P07__E002,20260420125333-ukjjv5__11__P07,Kuga,P07,2,44,50,7,0,0,0,1,0.0232976214327147,,other_or_shallow_episode,formal_educational
20260420125333-ukjjv5__12__P12__E001,20260420125333-ukjjv5__12__P12,Kuga,P12,1,28,34,7,0,0,0,1,0.0702767098581271,,other_or_shallow_episode,long_familiar_expository
20260420125333-ukjjv5__13__P14__E001,20260420125333-ukjjv5__13__P14,Kuga,P14,1,11,21,11,2730,2,2,3,0.4626930356821958,506.0,deep_overshoot_then_recovery,long_mixed_difficulty
20260420125333-ukjjv5__13__P14__E002,20260420125333-ukjjv5__13__P14,Kuga,P14,2,17,25,9,562,1,1,2,0.1819167602134892,467.0,other_or_shallow_episode,long_mixed_difficulty
20260420125333-ukjjv5__13__P14__E003,20260420125333-ukjjv5__13__P14,Kuga,P14,3,21,27,7,0,0,0,1,0.6271971682174322,,other_or_shallow_episode,long_mixed_difficulty
20260420125333-ukjjv5__13__P14__E004,20260420125333-ukjjv5__13__P14,Kuga,P14,4,26,36,11,1936,2,2,3,0.5180763197780548,713.0,deep_overshoot_then_recovery,long_mixed_difficulty
20260420125333-ukjjv5__14__P13__E001,20260420125333-ukjjv5__14__P13,Kuga,P13,1,90,96,7,0,0,0,1,0.0179784054440032,,other_or_shallow_episode,long_formal_bureaucratic
20260420125333-ukjjv5__14__P13__E002,20260420125333-ukjjv5__14__P13,Kuga,P13,2,101,107,7,0,0,0,1,-0.1739333102328961,,other_or_shallow_episode,long_formal_bureaucratic
20260420125333-ukjjv5__1__P01__E001,20260420125333-ukjjv5__1__P01,Kuga,P01,1,11,19,9,467,1,1,2,-0.1145353625672615,415.0,other_or_shallow_episode,familiar_baseline
20260420125333-ukjjv5__3__P04__E001,20260420125333-ukjjv5__3__P04,Kuga,P04,1,4,10,7,0,0,0,1,-0.0314127734243838,,other_or_shallow_episode,orthographic_named_entity
