term,coef,std_err,p_value,ci_low,ci_high,model_name,focus_term
Intercept,0.20388598820237722,0.049508563507826675,3.8184919831861564e-05,0.10685098680072293,0.3009209896040315,rq2_wrong_first_lpm,False
C(char_class_j)[T.english_punctuation],0.04972571266472035,0.08375290463899644,0.5526998981736193,-0.11442696402833029,0.21387838935777098,rq2_wrong_first_lpm,False
C(char_class_j)[T.thai_consonant],-0.11246546897135455,0.04805768042713663,0.019272465045243773,-0.2066567917890778,-0.01827414615363128,rq2_wrong_first_lpm,False
C(char_class_j)[T.thai_diacritic],-0.12892850017952412,0.05473127149669094,0.018489620434390768,-0.23619982114112198,-0.021657179217926245,rq2_wrong_first_lpm,False
C(char_class_j)[T.thai_numeral],0.21585711228886162,0.11351979629749194,0.05723745206765683,-0.00663759998654595,0.4383518245642692,rq2_wrong_first_lpm,False
C(char_class_j)[T.thai_tone_mark],-0.12190583093251513,0.04882479548367597,0.012531902468485415,-0.2176006716330539,-0.02621099023197633,rq2_wrong_first_lpm,False
C(char_class_j)[T.thai_vowel_mark],-0.10099540568453826,0.04821361469394978,0.03619333945302508,-0.19549235404917098,-0.006498457319905546,rq2_wrong_first_lpm,False
C(prompt_id)[T.P02],-0.003014641339865648,0.01615676093033846,0.8519844705194849,-0.03468131087015289,0.02865202819042159,rq2_wrong_first_lpm,False
C(prompt_id)[T.P03],0.06564642009055652,0.01724532688325985,0.00014087849389933735,0.031846200497746835,0.0994466396833662,rq2_wrong_first_lpm,False
C(prompt_id)[T.P04],0.003524657749659954,0.015513884095497277,0.8202730751386161,-0.026881996337843463,0.03393131183716337,rq2_wrong_first_lpm,False
C(prompt_id)[T.P05],0.11334317447771919,0.019108514288659978,3.0008178115743587e-09,0.07589117467387663,0.15079517428156175,rq2_wrong_first_lpm,False
C(prompt_id)[T.P06],0.02070264856995575,0.015084152763050742,0.16991507992800226,-0.008861747582924049,0.05026704472283555,rq2_wrong_first_lpm,False
C(prompt_id)[T.P07],0.015880433411255043,0.013353761165519718,0.23435683135832264,-0.01029245753131322,0.04205332435382331,rq2_wrong_first_lpm,False
C(prompt_id)[T.P08],-0.00031383758680993796,0.013475748119883616,0.9814196934506434,-0.026725818566515173,0.026098143392895297,rq2_wrong_first_lpm,False
C(prompt_id)[T.P09],0.02793256886798625,0.01530682134448631,0.0680244971858904,-0.002068249684995884,0.05793338742096839,rq2_wrong_first_lpm,False
C(prompt_id)[T.P10],0.00833168763754426,0.014736608160164137,0.5718197497288537,-0.020551533610656515,0.03721490888574504,rq2_wrong_first_lpm,False
C(prompt_id)[T.P11],0.020552761217251806,0.014944654747845473,0.16905136435149137,-0.008738223849910843,0.04984374628441446,rq2_wrong_first_lpm,False
C(prompt_id)[T.P12],0.012017142910205222,0.012279308286910411,0.3277530314184586,-0.012049859087203414,0.03608414490761386,rq2_wrong_first_lpm,False
C(prompt_id)[T.P13],0.015218300754998833,0.012158712328879502,0.21070197005800484,-0.008612337507988116,0.039048939017985784,rq2_wrong_first_lpm,False
C(prompt_id)[T.P14],0.0018924471495093398,0.012058986209534082,0.8752980265446515,-0.02174273151124264,0.02552762581026132,rq2_wrong_first_lpm,False
distance_from_prev_correct_j,-0.0015970398099339643,0.00112359631903719,0.15521084978302696,-0.003799248128408633,0.0006051685085407045,rq2_wrong_first_lpm,True
layout_switch_into_j,0.11893852374473207,0.06818173698092893,0.08108348262008135,-0.014695225141271334,0.25257227263073545,rq2_wrong_first_lpm,True
shift_required_j,0.03506071321961855,0.012176358121247663,0.003984214622737523,0.011195489839111335,0.05892593660012577,rq2_wrong_first_lpm,True
