short_window_id,cluster_id,window_id,trial_uid,participant_code,prompt_id,error_episode_id,window_start_event_index,window_end_event_index,window_length,episode_duration_ms,episode_delete_count,episode_recovery_step_count,max_error_suffix_depth,mean_friction,pause_before_first_delete_ms,heuristic_recovery_style,prompt_family
EP079,3,20260423113659-1pcez16__5__P05__E001,20260423113659-1pcez16__5__P05,march,P05,1,13,25,13,1084,3,3,4,0.0636742019085695,438.0,deep_overshoot_then_recovery,twisted_proverb
EP080,3,20260423114247-jugfhg__11__P07__E002,20260423114247-jugfhg__11__P07,Bao,P07,2,14,26,13,1361,3,3,4,0.1597155063753419,413.0,deep_overshoot_then_recovery,formal_educational
EP081,3,20260422072716-gd04si__5__P05__E001,20260422072716-gd04si__5__P05,เจ,P05,1,2,16,15,1329,4,4,3,-0.1332551941882606,186.0,deep_overshoot_then_recovery,twisted_proverb
EP082,3,20260422125452-imwczl__14__P13__E006,20260422125452-imwczl__14__P13,Ja,P13,6,155,165,11,1840,2,2,3,0.4506638889279911,1137.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP083,3,20260421074612-1pl8erz__6__P09__E002,20260421074612-1pl8erz__6__P09,champion,P09,2,7,19,13,1245,3,3,4,0.2909177504017486,373.0,deep_overshoot_then_recovery,arabic_numerals
EP084,3,20260423062023-gejtas__7__P11__E001,20260423062023-gejtas__7__P11,เทพซ่า676767677,P11,1,19,31,13,1722,3,3,4,0.166325407034364,334.0,deep_overshoot_then_recovery,rhythmic_repetition
EP085,3,20260420162459-1rqejrq__12__P12__E004,20260420162459-1rqejrq__12__P12,Plub,P12,4,58,70,13,1613,3,3,4,0.2161385436701666,313.0,deep_overshoot_then_recovery,long_familiar_expository
EP086,3,20260423022204-r0lr3h__12__P12__E008,20260423022204-r0lr3h__12__P12,name,P12,8,75,87,13,1080,3,3,4,0.1733054109291091,348.0,deep_overshoot_then_recovery,long_familiar_expository
EP087,2,20260422132335-1ewston__12__P12__E004,20260422132335-1ewston__12__P12,Shimmy,P12,4,68,80,13,970,3,3,4,0.3113126750817275,354.0,deep_overshoot_then_recovery,long_familiar_expository
EP088,3,20260419141512-jt34p4__13__P14__E008,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,8,112,124,13,1712,3,3,3,0.0202510811386363,581.0,deep_overshoot_then_recovery,long_mixed_difficulty
EP089,3,20260423113659-1pcez16__12__P12__E001,20260423113659-1pcez16__12__P12,march,P12,1,13,25,13,870,3,3,4,-0.066876717318009,357.0,deep_overshoot_then_recovery,long_familiar_expository
EP090,3,20260423113659-1pcez16__13__P14__E001,20260423113659-1pcez16__13__P14,march,P14,1,60,72,13,845,3,3,4,-0.2123158013322265,347.0,deep_overshoot_then_recovery,long_mixed_difficulty
EP091,3,20260422124629-1ue1i6s__14__P13__E020,20260422124629-1ue1i6s__14__P13,M,P13,20,123,135,13,1378,3,3,4,0.1392256394110249,309.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP092,2,20260423060813-rjwkd0__12__P12__E007,20260423060813-rjwkd0__12__P12,Tack,P12,7,110,122,13,1009,3,3,4,0.3159228155435832,330.0,deep_overshoot_then_recovery,long_familiar_expository
EP093,3,20260423060813-rjwkd0__9__P06__E001,20260423060813-rjwkd0__9__P06,Tack,P06,1,1,10,10,938,3,3,4,0.1160738335273676,334.0,deep_overshoot_then_recovery,mixed_symbols_identification
EP094,2,20260421074612-1pl8erz__5__P05__E003,20260421074612-1pl8erz__5__P05,champion,P05,3,25,37,13,1355,3,3,4,0.4655402877584042,299.0,deep_overshoot_then_recovery,twisted_proverb
EP095,3,20260423084348-yowi25__14__P13__E015,20260423084348-yowi25__14__P13,Chokdee`,P13,15,168,180,13,1020,3,3,4,0.0067471988522852,309.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP096,3,20260423022204-r0lr3h__12__P12__E007,20260423022204-r0lr3h__12__P12,name,P12,7,67,79,13,821,3,3,4,-0.1432247521547776,320.0,deep_overshoot_then_recovery,long_familiar_expository
EP097,3,20260419141512-jt34p4__13__P14__E001,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,1,1,11,11,977,3,3,4,-0.0712664542737384,278.0,deep_overshoot_then_recovery,long_mixed_difficulty
EP098,3,20260422123758-k3af7w__12__P12__E001,20260422123758-k3af7w__12__P12,DDDD,P12,1,26,36,11,2719,2,2,3,0.3560657468697973,933.0,deep_overshoot_then_recovery,long_familiar_expository
EP099,3,20260422072716-gd04si__10__P08__E015,20260422072716-gd04si__10__P08,เจ,P08,15,102,114,13,889,3,3,4,0.0051758668703204,282.0,deep_overshoot_then_recovery,formal_lexical_difficulty
EP100,3,20260423084348-yowi25__12__P12__E002,20260423084348-yowi25__12__P12,Chokdee`,P12,2,15,27,13,889,3,3,4,0.0762094921358481,275.0,deep_overshoot_then_recovery,long_familiar_expository
EP101,3,20260422132335-1ewston__14__P13__E014,20260422132335-1ewston__14__P13,Shimmy,P13,14,100,112,13,875,3,3,4,0.1840220654582073,263.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP102,3,20260422072537-15iap6f__11__P07__E004,20260422072537-15iap6f__11__P07,Naenon,P07,4,35,47,13,1157,3,3,4,0.1999867592676902,242.0,deep_overshoot_then_recovery,formal_educational
EP103,3,20260420162459-1rqejrq__3__P04__E001,20260420162459-1rqejrq__3__P04,Plub,P04,1,4,16,13,2274,3,3,3,0.2015975699259242,439.0,deep_overshoot_then_recovery,orthographic_named_entity
EP104,3,20260420151441-b4zwmo__13__P14__E002,20260420151441-b4zwmo__13__P14,Mick,P14,2,112,122,11,2229,2,2,3,0.3484585662121959,939.0,deep_overshoot_then_recovery,long_mixed_difficulty
EP105,3,20260422072716-gd04si__12__P12__E009,20260422072716-gd04si__12__P12,เจ,P12,9,161,173,13,791,3,3,4,-0.1126399907048278,258.0,deep_overshoot_then_recovery,long_familiar_expository
EP106,3,20260422132335-1ewston__12__P12__E013,20260422132335-1ewston__12__P12,Shimmy,P12,13,144,156,13,851,3,3,4,0.1637631509332961,252.0,deep_overshoot_then_recovery,long_familiar_expository
EP107,3,20260423022204-r0lr3h__13__P14__E017,20260423022204-r0lr3h__13__P14,name,P14,17,133,145,13,826,3,3,4,-0.2010962323876507,253.0,deep_overshoot_then_recovery,long_mixed_difficulty
