cluster_id,n_participants,mean_trial_duration_ms,mean_friction,mean_number_of_error_episodes,mean_maximum_wrong_suffix_depth,mean_near_key_typo_rate,dominant_participants
1,24,30187.023809523813,-0.0027478339880020845,4.544642857142857,2.550595238095238,0.030969073158822125,"Chokdee` (1), DDDD (1), เจ (1)"
2,1,31838.928571428572,0.037825754295355056,3.7142857142857144,6.785714285714286,0.029315960912052116,Bao (1)
3,1,112402.64285714286,0.09784292201783902,14.857142857142858,5.0,0.06568516421291053,Shimmy (1)
