participant_code,cluster_id
Bao,2
Chokdee`,1
DDDD,1
JJ,1
Ja,1
Kuga,1
Kurosagi Ichigo,1
M,1
Mick,1
Micky,1
Naenon,1
Offroad,1
Plub,1
Shimmy,3
Tack,1
Tw,1
champion,1
gobgab,1
march,1
name,1
sine,1
superidol,1
ก้องฟ้า,1
น้ำ,1
เจ,1
เทพซ่า676767677,1
