prompt_position_1based,char_j,median_time_to_stability_ms,mean_revisions,mean_wrong_first,n_users
1,ท,1288.0,0.0,0.038461538461538464,26
2,า,1518.5,0.0,0.07692307692307693,26
3,ง,1933.5,0.0,0.038461538461538464,26
4,ค,2561.5,0.0,0.07692307692307693,26
5,ณ,3323.0,0.0,0.038461538461538464,26
6,ะ,3736.0,0.038461538461538464,0.0,26
7,ผ,4294.5,0.038461538461538464,0.19230769230769232,26
8,ู,4657.0,0.07692307692307693,0.0,26
9,้,4947.0,0.038461538461538464,0.07692307692307693,26
10,จ,5694.5,0.038461538461538464,0.11538461538461539,26
11,ั,5842.5,0.038461538461538464,0.07692307692307693,26
12,ด,6970.0,0.0,0.2692307692307692,26
13,ท,7555.5,0.07692307692307693,0.19230769230769232,26
14,ำ,7723.0,0.0,0.11538461538461539,26
15,ข,8609.5,0.0,0.07692307692307693,26
16,อ,8802.0,0.0,0.07692307692307693,26
17,ค,10173.5,0.0,0.19230769230769232,26
18,ว,10377.0,0.0,0.19230769230769232,26
19,า,11069.0,0.0,0.19230769230769232,26
20,ม,11301.0,0.0,0.038461538461538464,26
21,ก,11836.5,0.0,0.11538461538461539,26
22,ร,11949.0,0.038461538461538464,0.07692307692307693,26
23,ุ,12182.5,0.0,0.19230769230769232,26
24,ณ,12902.5,0.0,0.2692307692307692,26
25,า,13294.5,0.0,0.15384615384615385,26
26,ใ,13904.5,0.0,0.11538461538461539,26
27,ห,14303.5,0.0,0.038461538461538464,26
28,้,14519.5,0.0,0.038461538461538464,26
29,น,15764.5,0.038461538461538464,0.23076923076923078,26
30,ั,15917.0,0.0,0.15384615384615385,26
31,ก,16170.0,0.0,0.15384615384615385,26
32,เ,16417.5,0.0,0.07692307692307693,26
33,ร,16555.0,0.0,0.038461538461538464,26
34,ี,16677.5,0.0,0.038461538461538464,26
35,ย,16966.5,0.0,0.038461538461538464,26
36,น,17128.0,0.0,0.038461538461538464,26
37,จ,18272.5,0.038461538461538464,0.11538461538461539,26
38,ั,18472.0,0.0,0.11538461538461539,26
39,ด,19041.0,0.0,0.11538461538461539,26
40,ท,19297.0,0.0,0.11538461538461539,26
41,ำ,19543.5,0.0,0.11538461538461539,26
42,ร,19887.0,0.0,0.11538461538461539,26
43,า,20073.0,0.0,0.038461538461538464,26
44,ย,20366.0,0.0,0.07692307692307693,26
45,ง,20629.0,0.0,0.07692307692307693,26
46,า,21124.5,0.0,0.07692307692307693,26
47,น,21263.0,0.0,0.038461538461538464,26
48,เ,22031.5,0.038461538461538464,0.038461538461538464,26
49,ร,22193.5,0.0,0.07692307692307693,26
50,ื,22339.0,0.0,0.038461538461538464,26
51,่,22502.0,0.0,0.038461538461538464,26
52,อ,22599.5,0.0,0.15384615384615385,26
53,ง,22734.5,0.0,0.15384615384615385,26
54,ส,23205.5,0.038461538461538464,0.07692307692307693,26
55,ุ,23913.5,0.0,0.19230769230769232,26
56,ภ,24561.5,0.0,0.11538461538461539,26
57,า,25202.0,0.038461538461538464,0.15384615384615385,26
58,ษ,25657.5,0.038461538461538464,0.11538461538461539,26
59,ิ,26221.5,0.0,0.11538461538461539,26
60,ต,26576.0,0.0,0.038461538461538464,26
61,แ,27351.0,0.0,0.15384615384615385,26
62,ล,27549.0,0.0,0.15384615384615385,26
63,ะ,27913.5,0.0,0.11538461538461539,26
64,ค,28324.0,0.038461538461538464,0.07692307692307693,26
65,ำ,28789.0,0.0,0.07692307692307693,26
66,พ,29887.5,0.0,0.2692307692307692,26
67,ั,30242.5,0.0,0.07692307692307693,26
68,ง,30368.0,0.0,0.19230769230769232,26
69,เ,30705.0,0.0,0.15384615384615385,26
70,พ,31132.5,0.0,0.19230769230769232,26
71,ย,31424.5,0.0,0.11538461538461539,26
72, ,31990.0,0.0,0.07692307692307693,26
73,โ,32545.5,0.0,0.07692307692307693,26
74,ด,33087.5,0.0,0.19230769230769232,26
75,ย,33288.5,0.0,0.07692307692307693,26
76,เ,33739.5,0.0,0.07692307692307693,26
77,ข,34150.5,0.0,0.07692307692307693,26
78,ี,34349.5,0.0,0.0,26
79,ย,34775.0,0.0,0.0,26
80,น,34913.0,0.0,0.0,26
81,อ,35830.5,0.0,0.11538461538461539,26
82,ธ,36355.5,0.038461538461538464,0.038461538461538464,26
83,ิ,36694.5,0.0,0.11538461538461539,26
84,บ,37036.5,0.0,0.15384615384615385,26
85,า,37285.0,0.0,0.07692307692307693,26
86,ย,37450.0,0.0,0.07692307692307693,26
87,เ,38001.0,0.0,0.038461538461538464,26
88,น,39112.5,0.11538461538461539,0.07692307692307693,26
89,ื,40304.5,0.15384615384615385,0.038461538461538464,26
90,้,40443.5,0.0,0.23076923076923078,26
91,อ,40571.0,0.0,0.19230769230769232,26
92,ห,41917.0,0.0,0.15384615384615385,26
93,า,42133.0,0.0,0.15384615384615385,26
94,ใ,42681.5,0.0,0.07692307692307693,26
95,ห,42790.5,0.0,0.038461538461538464,26
96,้,42921.5,0.0,0.038461538461538464,26
97,ค,43232.5,0.0,0.038461538461538464,26
98,ร,43372.0,0.0,0.07692307692307693,26
99,บ,43659.0,0.0,0.038461538461538464,26
100,ถ,44812.5,0.038461538461538464,0.11538461538461539,26
101,้,45159.0,0.038461538461538464,0.07692307692307693,26
102,ว,45409.0,0.0,0.2692307692307692,26
103,น,46087.5,0.0,0.34615384615384615,26
104,เ,48065.0,0.0,0.3076923076923077,26
105,พ,48172.0,0.0,0.15384615384615385,26
106,ื,48355.5,0.0,0.07692307692307693,26
107,่,48488.5,0.0,0.07692307692307693,26
108,อ,48588.0,0.0,0.11538461538461539,26
109,เ,49449.5,0.0,0.23076923076923078,26
110,ป,49592.5,0.0,0.11538461538461539,26
111,็,49855.0,0.0,0.038461538461538464,26
112,น,50099.0,0.0,0.07692307692307693,26
