prompt_position_1based,char_j,median_time_to_stability_ms,mean_revisions,mean_wrong_first,n_users
110,็,47942.5,0.0,0.038461538461538464,26
111,น,48224.5,0.0,0.038461538461538464,26
112,ว,49374.0,0.038461538461538464,0.15384615384615385,26
113,ิ,49657.0,0.0,0.19230769230769232,26
114,ท,50115.0,0.0,0.11538461538461539,26
115,ย,51303.5,0.0,0.07692307692307693,26
116,า,51454.5,0.0,0.15384615384615385,26
117,ท,51766.5,0.0,0.11538461538461539,26
118,า,51964.0,0.0,0.15384615384615385,26
119,น,52181.5,0.0,0.2692307692307692,26
120,แ,53400.0,0.0,0.3076923076923077,26
121,ก,53534.5,0.038461538461538464,0.11538461538461539,26
122,่,53704.5,0.0,0.23076923076923078,26
123,โ,54049.5,0.0,0.11538461538461539,26
124,ร,54265.5,0.0,0.038461538461538464,26
125,ง,54515.0,0.0,0.07692307692307693,26
126,เ,55149.0,0.0,0.07692307692307693,26
127,ร,55317.5,0.038461538461538464,0.038461538461538464,26
128,ี,55987.0,0.0,0.038461538461538464,26
129,ย,56255.0,0.0,0.11538461538461539,26
130,น,56439.0,0.0,0.15384615384615385,26
131,ใ,57259.5,0.0,0.07692307692307693,26
132,น,57528.5,0.0,0.038461538461538464,26
133,เ,57847.0,0.0,0.038461538461538464,26
134,ค,57979.0,0.0,0.11538461538461539,26
135,ร,58163.0,0.0,0.038461538461538464,26
136,ื,58321.0,0.0,0.0,26
137,อ,58557.0,0.0,0.11538461538461539,26
138,พ,59288.0,0.0,0.15384615384615385,26
139,ั,59519.0,0.0,0.11538461538461539,26
140,น,60569.0,0.0,0.11538461538461539,26
141,ธ,62898.0,0.0,0.11538461538461539,26
142,ม,63473.0,0.0,0.07692307692307693,26
143,ิ,63645.0,0.0,0.07692307692307693,26
144,ต,63940.0,0.0,0.038461538461538464,26
145,ร,64080.5,0.0,0.038461538461538464,26
