prompt_id,anon_id,role,rank,subseq_start_event,subseq_end_event,mp_distance,series_length,window
P12,U17,discord,1,188,203,4.113168152256511,273,16
P12,U17,discord,2,251,266,3.905829284668549,273,16
P12,U17,discord,3,132,147,3.889730978335537,273,16
P12,U18,motif,1,108,123,1.8447460799507565,145,16
P12,U18,motif,2,129,144,1.8447460799507565,145,16
P12,U18,motif,3,88,103,2.6324299072778006,145,16
P12,U18,discord,1,29,44,4.164146548221874,145,16
P12,U18,discord,2,79,94,4.111492115264738,145,16
P12,U18,discord,3,52,67,4.0377142782380755,145,16
P12,U19,motif,1,44,59,2.3263029797923083,141,16
P12,U19,motif,2,100,115,2.3263029797923083,141,16
P12,U19,motif,3,74,89,2.5552970859249498,141,16
P12,U19,discord,1,85,100,4.0471964538758005,141,16
P12,U19,discord,2,12,27,3.9913876074434937,141,16
P12,U19,discord,3,119,134,3.9722870571173305,141,16
P12,U20,motif,1,127,142,2.2512225307298466,207,16
P12,U20,motif,2,5,20,2.537058237637977,207,16
P12,U20,motif,3,164,179,2.537058237637977,207,16
P12,U20,discord,1,108,123,4.12549330195812,207,16
P12,U20,discord,2,38,53,3.8559742772621273,207,16
P12,U20,discord,3,72,87,3.816179406123754,207,16
P12,U21,motif,1,21,36,2.814168902300755,139,16
P12,U21,motif,2,77,92,2.8782360670578457,139,16
P12,U21,motif,3,38,53,2.9294514043727857,139,16
P12,U21,discord,1,60,75,4.282988336980998,139,16
P12,U21,discord,2,100,115,4.130635042289361,139,16
P12,U21,discord,3,35,50,3.9288758811922255,139,16
P12,U22,motif,1,51,66,2.374551618399193,127,16
P12,U22,motif,2,90,105,2.374551618399193,127,16
P12,U22,motif,3,69,84,2.695577046194822,127,16
P12,U22,discord,1,110,125,4.17077174616406,127,16
P12,U22,discord,2,79,94,4.078685180156999,127,16
P12,U22,discord,3,10,25,3.9933491471052216,127,16
P12,U23,motif,1,23,38,2.693972746201092,129,16
P12,U23,motif,2,90,105,2.693972746201092,129,16
P12,U23,motif,3,47,62,3.0951200218788597,129,16
P12,U23,discord,1,0,15,4.150909937826026,129,16
P12,U23,discord,2,37,52,4.051904495429803,129,16
P12,U23,discord,3,80,95,4.027228202370972,129,16
P12,U24,motif,1,90,105,2.3891729648231763,141,16
P12,U24,motif,2,111,126,2.3891729648231763,141,16
P12,U24,motif,3,14,29,2.5921902474447744,141,16
P12,U24,discord,1,44,59,4.058646400667902,141,16
P12,U24,discord,2,9,24,3.9930351434097093,141,16
P12,U24,discord,3,102,117,3.835692629671352,141,16
P12,U25,motif,1,49,64,2.6953933278353817,151,16
P12,U25,motif,2,91,106,2.6953933278353817,151,16
P12,U25,motif,3,124,139,2.8846945167042075,151,16
P12,U25,discord,1,21,36,4.117379462921038,151,16
P12,U25,discord,2,41,56,4.011999543935199,151,16
P12,U25,discord,3,100,115,3.87960201209418,151,16
P12,U26,motif,1,47,62,2.363649682996098,205,16
P12,U26,motif,2,76,91,2.363649682996098,205,16
P12,U26,motif,3,157,172,2.5372852374940744,205,16
P12,U26,discord,1,27,42,3.9806762886341445,205,16
P12,U26,discord,2,62,77,3.8677115368083097,205,16
P12,U26,discord,3,104,119,3.8589571399659603,205,16
P13,U01,motif,1,41,56,1.6362642285534896,163,16
P13,U01,motif,2,144,159,1.6362642285534896,163,16
P13,U01,motif,3,99,114,2.4468699007653454,163,16
P13,U01,discord,1,74,89,4.069935839735847,163,16
P13,U01,discord,2,136,151,3.991398033688556,163,16
P13,U01,discord,3,6,21,3.7704850846691724,163,16
P13,U02,motif,1,8,23,2.1472465737996487,173,16
P13,U02,motif,2,155,170,2.406465821192022,173,16
P13,U02,motif,3,48,63,2.503970269293083,173,16
P13,U02,discord,1,101,116,3.940537887723297,173,16
P13,U02,discord,2,33,48,3.703062577975918,173,16
P13,U02,discord,3,142,157,3.658014712615562,173,16
P13,U03,motif,1,1,16,2.553100050785792,199,16
P13,U03,motif,2,111,126,2.553100050785792,199,16
P13,U03,motif,3,28,43,2.6514135260013414,199,16
P13,U03,discord,1,82,97,4.005138693897367,199,16
P13,U03,discord,2,150,165,3.897655994575439,199,16
P13,U03,discord,3,121,136,3.889837591319494,199,16
P13,U04,motif,1,42,57,2.6727489180448023,191,16
P13,U04,motif,2,112,127,2.6727489180448023,191,16
P13,U04,motif,3,19,34,2.7599551672903484,191,16
P13,U04,discord,1,2,17,4.098079391653053,191,16
P13,U04,discord,2,97,112,4.007203272052987,191,16
P13,U04,discord,3,141,156,3.890808639333839,191,16
P13,U05,motif,1,79,94,2.766570299473693,147,16
P13,U05,motif,2,100,115,2.766570299473693,147,16
P13,U05,motif,3,4,19,2.8611709065968816,147,16
P13,U05,discord,1,118,133,4.1815827188123835,147,16
P13,U05,discord,2,73,88,4.093299462628915,147,16
P13,U05,discord,3,0,15,3.8599747736754275,147,16
P13,U06,motif,1,22,37,2.2042736895597113,175,16
P13,U06,motif,2,144,159,2.2042736895597113,175,16
P13,U06,motif,3,115,130,2.600834822444818,175,16
P13,U06,discord,1,1,16,4.112421323540099,175,16
P13,U06,discord,2,36,51,3.919631188208074,175,16
P13,U06,discord,3,86,101,3.8877590599158034,175,16
P13,U07,motif,1,65,80,2.4199870866856417,165,16
P13,U07,motif,2,98,113,2.4199870866856417,165,16
P13,U07,motif,3,27,42,2.6452830094837254,165,16
P13,U07,discord,1,77,92,4.125699987452038,165,16
P13,U07,discord,2,107,122,4.045335096990317,165,16
P13,U07,discord,3,7,22,4.036662113596015,165,16
P13,U08,motif,1,43,58,1.9520780910862667,225,16
P13,U08,motif,2,155,170,1.9520780910862667,225,16
P13,U08,motif,3,195,210,2.0933636867347567,225,16
P13,U08,discord,1,73,88,3.9940267393314985,225,16
P13,U08,discord,2,23,38,3.7667403312329095,225,16
P13,U08,discord,3,166,181,3.7277913629685004,225,16
P13,U09,motif,1,44,59,2.210942390881135,197,16
P13,U09,motif,2,175,190,2.210942390881135,197,16
P13,U09,motif,3,8,23,2.2201945042833016,197,16
P13,U09,discord,1,79,94,3.913847448228435,197,16
P13,U09,discord,2,143,158,3.873269197815992,197,16
P13,U09,discord,3,117,132,3.8436315861766777,197,16
P13,U10,motif,1,40,55,2.5899725300961234,167,16
P13,U10,motif,2,99,114,2.5899725300961234,167,16
P13,U10,motif,3,22,37,2.611042137868727,167,16
